token	lemma	POS	morph	treated
Onques	onque	ADVgen	DEGRE=-	Onques
maiz	mais1	ADVgen	CAS=n|DEGRE=c	maiz
nus	nul	DETind	NOMB.=s|GENRE=m|CAS=n	nus
hom	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n	hom
ne	ne1	ADVneg	MORPH=empty	ne
chanta	chanter	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	chanta
en	en1	PRE	MORPH=empty	en
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
maniere	maniere	NOMcom	NOMB.=s|GENRE=f|CAS=r	maniere
que	que2	PROrel	GENRE=f|CAS=r	que
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
chant	chant2	VERcjg	MODE=ind|PERS.=1|NOMB.=s	chant
ne	ne2	CONcoo	MORPH=empty	ne
Kamaiz	Camaire	NOMpro	TEMPS=psp|NOMB.=s|GENRE=m|CAS=n	Kamaiz
nus	nos1	PROind	NOMB.=s|GENRE=m|CAS=n	nus
ne	ne1	ADVneg	MORPH=empty	ne
chantera	chanter	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	chantera
pluz	plus	ADVgen	DEGRE=-	pluz
ait	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	ait
dire	dire	VERinf	MORPH=empty	dire
a	a3	PRE	MORPH=empty	a
mains	main2	ADVgen	NOMB.=p|GENRE=f|CAS=r	mains
de	de	PRE	MORPH=empty	de
samblant	semblant	NOMcom	NOMB.=s|GENRE=m|CAS=r	samblant
et	et	CONcoo	MORPH=empty	et
quant	cant1	CONsub	MORPH=empty	quant
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=n	ma
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n	dame
ocis	ocire	VERppe	NOMB.=s|GENRE=m|CAS=n	ocis
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	m
avra	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	avra
sachiez	savoir	VERppe	NOMB.=p	sachiez
de	de	PRE	MORPH=empty	de
voir	voir	NOMcom	DEGRE=-	voir
a	a3	PRE	MORPH=empty	a
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	li
men	mien	ADJpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	men
vant	vant	NOMcom	MODE=ind|NOMB.=s|GENRE=m|CAS=n	vant
		PONfbl	MORPH=empty	
que	que4	CONsub	MORPH=empty	que
Kamaiz	Camaire	NOMpro	NOMB.=s|GENRE=m|CAS=n	Kamaiz
nul	nul	PROind	NOMB.=s|GENRE=m|CAS=n	nul
n	ne1	ADVneg	MORPH=empty	n
en	en2	PROadv	MORPH=empty	en
trouvera	trover	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	trouvera
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
tant	tant	ADVgen	DEGRE=-	tant
l	il	PROper	PERS.=3|NOMB.=s|GENRE=n|CAS=r	l
aint	amer1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	aint
en	en1	PRE	MORPH=empty	en
