token	lemma	POS	morph	treated
e	et	CONcoo	MORPH=empty	e
onsi	onse	ADVgen	PERS.=3|DEGRE=-	onsi
com	come1	CONsub	MORPH=empty	com
unicorne	-	NOMcom	NOMB.=s	unicorne
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	sui
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
s	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	s
esbahist	esbäir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	esbahist
en	en1	PRE	MORPH=empty	en
resgardant	regarder	VERppa	NOMB.=s|GENRE=m|CAS=r	resgardant
quaat	car	VERcjg	MORPH=empty	quaat
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n	la
pucele	pucele	NOMcom	NOMB.=s|GENRE=f|CAS=n	pucele
va	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	va
mirant	mire1	NOMcom	NOMB.=s|GENRE=m|CAS=n	mirant
tant	tant	ADVgen	DEGRE=-	tant
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
lie	lié1	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p	lie
de	de	PRE	MORPH=empty	de
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
mirer	mire1	NOMcom	NOMB.=s|GENRE=m|CAS=r	mirer
pasmee	pasmer	VERppe	NOMB.=s|GENRE=f|CAS=n	pasmee
chiet	chëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	chiet
en	en1	PRE	MORPH=empty	en
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
grioon	grieue	NOMcom	NOMB.=s|GENRE=m|CAS=r	grioon
lors	lors	ADVgen	DEGRE=-	lors
l	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
ocist	ocire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ocist
en	en1	PRE	MORPH=empty	en
en	en1	PRE	MORPH=empty	en
traison	träison	NOMcom	NOMB.=s|GENRE=f|CAS=r	traison
oonku	onque	PRE	GENRE=m	oonku
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	moi
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	ont
mort	morir	VERppe	NOMB.=s|GENRE=m|CAS=r	mort
d	de	PRE	MORPH=empty	d
autel	autel1	DETind	NOMB.=s|GENRE=m|CAS=r	autel
semblant	semblant	NOMcom	NOMB.=s|GENRE=m|CAS=r	semblant
