token	lemma	POS	morph	treated
Tant	tant	ADVgen	DEGRE=-	Tant
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
en	en1	PRE	MORPH=empty	en
chantant	chanter	VERppa	GENRE=m|CAS=r	chantant
proie	proie	NOMcom	NOMB.=s|GENRE=f	proie
que	que4	CONsub	MORPH=empty	que
bien	bien1	ADVgen	DEGRE=p	bien
peüst	pöoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	peüst
maiz	mais1	ADVgen	DEGRE=-	maiz
remanoir	remanoir	VERinf	MORPH=empty	remanoir
puiz	puis	ADVgen	CAS=r|DEGRE=-	puiz
que	que4	CONsub	MORPH=empty	que
de	de	PRE	MORPH=empty	de
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	moi
n	ne1	ADVneg	MORPH=empty	n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3	a
pitie	pitié	NOMcom	NOMB.=s|GENRE=f|CAS=r	pitie
cele	cel	PROdem	NOMB.=s|GENRE=f|CAS=r	cele
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n	qui
bien	bien1	ADVgen	DEGRE=p	bien
set	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	set
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	mon
voloir	voloir	NOMcom	NOMB.=s|GENRE=m|CAS=r	voloir
maiz	mais1	CONcoo	GENRE=m|DEGRE=c	maiz
n	ne1	ADVneg	MORPH=empty	n
en	en2	PROadv	MORPH=empty	en
puis	pöoir	VERcjg	MODE=ind|PERS.=1|NOMB.=s	puis
avoir	avoir	VERinf	MORPH=empty	avoir
congie	congié	NOMcom	NOMB.=s|GENRE=f|CAS=r	congie
quar	car	CONcoo	DEGRE=-	quar
iai	aler	VERcjg	MODE=ind|PERS.=1	iai
fine	fin2	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	fine
amour	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r	amour
otroie	otroiier	VERcjg	MODE=con|PERS.=3|NOMB.=s	otroie
tant	tant	ADVgen	DEGRE=-	tant
com	come1	CONsub	MORPH=empty	com
i	i2	PROadv	MORPH=empty	i
aie	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=s	aie
sens	sens	NOMcom	NOMB.=s|GENRE=m|CAS=r	sens
et	et	CONcoo	MORPH=empty	et
force	force2	NOMcom	NOMB.=s|GENRE=f|CAS=r	force
et	et	CONcoo	MORPH=empty	et
pooir	pöoir	NOMcom	NOMB.=s|GENRE=m|CAS=r	pooir
ne	ne1	ADVneg	MORPH=empty	ne
laisserai	laissier	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	laisserai
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	mon
chant	chant2	NOMcom	NOMB.=s|GENRE=m|CAS=r	chant
ne	ne2	CONcoo	MORPH=empty	ne
s	son4	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r	s
amistie	amistié	NOMcom	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s|GENRE=f|CAS=r	amistie
Coument	coment1	ADVsub	MORPH=empty	Coument
qu	que4	CONsub	MORPH=empty	qu
ele	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	ele
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	m
ait	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	ait
laissie	laissier	VERppe	NOMB.=s|GENRE=f|CAS=r	laissie
en	en1	PRE	MORPH=empty	en
ire	ire	NOMcom	NOMB.=s|GENRE=f|CAS=r	ire
et	et	CONcoo	MORPH=empty	et
en	en1	PRE	MORPH=empty	en
doleur	dolor	NOMcom	NOMB.=s|GENRE=f|CAS=r	doleur
manoir	manoir1	VERinf	MORPH=empty	manoir
doucement	doucement	ADVgen	DEGRE=-	doucement
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r	ma
engignie	engignier1	NOMcom	NOMB.=s|GENRE=f|CAS=r	engignie
se	se	CONsub	MORPH=empty	se
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
pluz	plus	ADVgen	MODE=ind|PERS.=1|DEGRE=c	pluz
n	ne1	ADVneg	MORPH=empty	n
en	en2	PROadv	MORPH=empty	en
pooie	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	pooie
avoir	avoir	VERinf	MORPH=empty	avoir
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
que	que2	PROrel	MORPH=empty	que
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	m
en	en2	PROadv	MORPH=empty	en
tieigne	tenir1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	tieigne
a	a3	PRE	TEMPS=pst	a
trichieie	tricherie	NOMcom	NOMB.=s|GENRE=f|CAS=r	trichieie
di	dire	VERcjg	MODE=ind|PERS.=1|NOMB.=s	di
que	que4	CONsub	MORPH=empty	que
bien	bien1	ADVgen	DEGRE=p	bien
l	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r	l
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
emploie	emploiier	VERcjg	NOMB.=s|GENRE=f|CAS=r	emploie
se	se	CONsub	MORPH=empty	se
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=n	ma
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n	dame
le	il	PROper	NOMB.=s|GENRE=m|CAS=r	le
fait	faire	VERcjg	MODE=ind|TEMPS=pst|NOMB.=s	fait
pout	pöoir	VERcjg	MODE=ind|PERS.=3|NOMB.=s	pout
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	moi
doloir	doloir	VERinf	MORPH=empty	doloir
