token	normalised
Au	au
renouuel	renouvel
de	de
la	la
douour	dovour
deste	deste
que	que
resdois	resdois
par	par
la	la
fontainne	fontainne
tuit	tuit
sunt	sunt
uert	vert
bois	bois
et	et
uergier	vergier
et	et
pre	pre
et	et
li	li
rosiers	rosiers
en	en
mai	mai
florist	florist
et	et
grainne	grainne
lors	lors
chanterai	chanterai
quar	quar
trop	trop
maura	mavra
greue	greve
ire	ire
et	et
esmais	esmais
que	que
iai	Kai
au	au
cuer	cuer
prochainne	prochainne
et	et
fins	fins
amis	amis
atort	atort
ochoisonez	ochoisonez
	
est	est
mout	mout
souuent	souvent
de	de
legier	legier
esfreez	esfreez
uoirs	voirs
est	est
quamours	quamours
ma	ma
outre	outre
loi	loi
mene	mene
maiz	maiz
mout	mout
mest	mest
bel	bel
qua	qua
son	son
plaisir	plaisir
me	me
mainne	mainne
quar	quar
se	se
dieu	dieu
plest	plest
encor	encor
me	me
saura	savra
gre	gre
de	de
mon	mon
trauaill	travaill
et	et
de	de
ma	ma
longe	longe
painne	painne
maiz	maiz
paour	paour
ai	ai
que	que
ne	ne
mait	mait
oublie	oublie
	
par	par
le	le
conseill	conseill
de	de
la	la
fausse	fausse
gent	gent
uainne	vainne
dont	dont
li	li
tors	tors
est	est
couneus	couneus
et	et
prouez	provez
que	que
ia	ja
sanz	sanz
mort	mort
nen	nen
quit	quit
estre	estre
eschapez	eschapez
Douce	douce
dame	dame
quar	quar
motroiez	motroiez
pour	pour
de	de
un	un
douz	douz
reguart	reguart
de	de
uous	vous
en	en
la	la
semainne	semainne
si	si
atendrai	atendrai
par	par
ceste	ceste
seurte	seurte
	
ioie	joie
damours	damours
se	se
mes	mes
eurs	eurs
le	le
mainne	mainne
souuieigne	souuieigne
uous	vous
ꝯ	com
laide	laide
cruaute	cruaute
	
fet	fet
qui	qui
ocit	ocit
son	son
lige	lige
home	home
demainne	demainne
douce	douce
dame	dame
dorgueill	dorgueill
uous	vous
desfendez	desfendez
	
ne	ne
trahissiez	trahissiez
uos	vos
bienz	bienz
ne	ne
uos	vos
biautez	brautez
Tant	Tant
ai	ai
damours	damours
mon	mon
fin	fin
cuer	cuer
esprouue	esprouue
que	que
ia	ja
sans	sans
li	li
naurai	navrai
ioie	joie
certainne	certainne
tant	tant
par	par
sui	sui
mis	mis
tout	tout
a	a
sa	sa
uolente	volente
	
que	que
mis	mis
trauauz	travauz
mon	mon
desir	desir
ne	ne
refrainne	refrainne
quant	quant
pluz	pluz
me	me
truis	truis
pensif	pensif
et	et
esgare	esgare
	
pluz	pluz
me	me
confort	confort
as	as
biens	biens
dont	dont
ele	ele
est	est
plainne	plainne
et	et
uous	vous
seigneur	seigneur
qui	qui
proiez	promez
et	et
amez	amez
	
faites	faites
ausi	ausi
se	se
ioir	joira
en	en
uolez	volez
Douce	douce
dame	dame
mout	mout
mont	mont
achoisone	achoisone
	
faus	faus
recreant	recreant
et	et
lor	lor
parole	parole
uainne	vainne
quen	quen
lonc	lonc
espoir	espoir
mout	mout
si	si
desconforte	desconforte
	
prez	prez
ne	ne
mont	mont
mort	mort
diex	diex
lor	lor
doint	doint
male	male
estrainne	estrainne
et	et
maugre	maugre
eus	eus
uous	vous
ai	ai
mon	mon
cuer	cuer
done	done
plain	plain
delamour	delamour
qui	qui
ia	ja
nen	nen
iert	iert
lontainne	lontainne
tant	tant
sest	sest
en	en
uous	vous
finement	finement
esmerez	esmerez
	
quainc	quainc
si	si
loiauz	loiauz
ne	ne
fu	fu
quis	quis
ne	ne
trouuez	trouvez
Finez	finez
chancons	chancons
ia	ja
ne	ne
mi	mi
reguardez	reguardez
par	par
mon	mon
seigneur	seigneur
noblet	noblet
uous	vous
en	en
alez	alez
et	et
dites	dites
li	li
de	de
male	male
hore	hore
fui	fui
nez	nez
	
qui	qui
touz	touz
iours	jours
aim	aim
et	et
ia	ja
ni	ni
iere	iere
amez	amez
