token	normalised
En	en
cel	cel
tanz	tanz
que	que
uoi	voi
former	former
les	les
arbres	arbres
et	et
blanchoier	blanchoier
m	m
est	est
pris	pris
talenz	talenz
de	de
chanter	chanter
si	si
n	n
en	en
eusse	eusse
mestier	mestier
qu	qu
amours	amours
me	me
fet	fet
cõperer	comperer
ce	ce
c	c
onques	onques
ne	ne
seu	seu
trichier	trichier
n	n
onques	onques
ne	ne
peu	peu
endurera	endurera
auoir	avoir
faus	faus
cuer	cuer
legier	legier
pour	pour
cai	cai
failli	failli
a	a
amie	amie
Mout	mout
par	par
me	me
seut	seut
bien	bien
greuer	grever
ce	ce
qui	qui
me	me
deust	deust
aidier	aidier
ce	ce
est	est
loiaum	loiaum
entamer	entamer
qu	qu
ailleurs	ailleurs
ne	ne
me	me
soi	soi
uengier	vengier
dieus	dieus
le	le
me	me
laist	laist
oublier	oublier
pour	pour
estre	estre
hors	hors
de	de
dangier	dangier
non	non
porquant	porquant
bien	bien
doi	doi
trouer	trover
	
folie	folie
quant	quant
ie	je
la	la
quier	quier
ha	há
las	las
folours	folours
n	n
est	est
ce	ce
mie	mie
A	a
tort	tort
m	m
ociez	ociez
amours	amours
que	que
point	point
n	n
en	en
deusse	deusse
auoir	avoir
marzciaus	marzciaus
qui	qui
trichent	trichent
toz	toz
iours	jours
et	et
seruent	servent
pour	pour
deceuoir	decevoir
de	de
tant	tant
madi	madi
exf	exf
et	et
honour	honour
dont	dont
bon	bon
gre	gre
li	li
dois	dois
auoir	avoir
c	c
ains	ains
ne	ne
ui	vi
hore	hore
de	de
iour	jour
	
que	que
ne	ne
me	me
feist	feist
doloir	doloir
ma	ma
douce	douce
dame	dame
anemie	anemie
Dame	dame
pour	pour
le	le
creatour	creatour
creez	creez
moi	moi
ie	je
uous	vous
di	di
uooir	vooir
qu	qu
en	en
moi	moi
n	n
a	a
tant	tant
de	de
uigour	vrgour
quele	quele
uous	vous
face	face
sauoir	savoir
auc	auc
uer	ver
en	en
souspir	souspir
et	et
plour	plour
maiz	maiz
ne	ne
uous	vous
daigne	daigne
chaloir	chaloir
mieus	mieus
me	me
uenist	venist
q̃	que
ualour	valour
faussist	faussist
quant	quant
la	la
lai	lai
ueoir	veoir
et	et
biautez	brautez
et	et
cortoisie	cortoisie
Ha	oa
	
lasie	lasie
uois	vois
reclamant	reclamant
ce	ce
qui	qui
me	me
fera	fera
morir	morir
qu	qu
amours	amours
n	n
aloit	aloit
el	el
querant	querant
	
maiz	maiz
que	que
me	me
peust	peust
trahir	trahir
de	de
moi	moi
ne	ne
uoi	voi
nul	nul
samblant	samblant
ꝯmentie	commentie
m	m
en	en
puisseissir	puisseissir
se	se
pitiez	pitiez
ne	ne
m	m
en	en
deslie	deslie
Amours	amours
ueut	veut
tout	tout
son	son
ꝯmant	commant
de	de
moi	moi
greuera	grevera
ꝯp	comp
lirmaiz	lirmaiz
merueille	merveille
est	est
que	que
ia	ja
un	un
tant	tant
as	as
maus	maus
que	que
me	me
fait	fait
soufrir	soufrir
a	a
li	li
motroi	motroi
et	et
ꝯmãt	commant
quar	quar
bien	bien
le	le
me	me
puet	puet
merir	merrr
nus	nus
qui	qui
