token	lemma	POS	morph	treated
e	et	CONcoo	MORPH=empty	e
on	on	PROind	NOMB.=s|GENRE=n|CAS=n	on
si	si	ADVgen	DEGRE=-	si
com	come1	CONsub	MORPH=empty	com
unicorne	-	NOMcom	NOMB.=s	unicorne
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	sui
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
s	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	s
esbahist	esbäir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	esbahist
en	en1	PRE	MORPH=empty	en
resgardant	regarder	VERppa	NOMB.=s|CAS=r	resgardant
quaat	carante	VERcjg	MORPH=empty	quaat
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n	la
pucele	pucele	NOMcom	NOMB.=s|GENRE=f|CAS=n	pucele
u	o3	PROrel	NOMB.=s|GENRE=f	u
amirant	amiral	NOMcom	NOMB.=s|GENRE=m|CAS=n	amirant
tant	tant	ADVgen	DEGRE=-	tant
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
lie	lié1	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p	lie
de	de	PRE	MORPH=empty	de
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
mirer	mire1	NOMcom	NOMB.=s|GENRE=m|CAS=r	mirer
pasmee	pasmer	VERppe	NOMB.=s|GENRE=f|CAS=n	pasmee
chiet	chëoir	VERcjg	MODE=ind|PERS.=3|NOMB.=s	chiet
e	et	CONcoo	MORPH=empty	e
n	ne2	ADVneg	MORPH=empty	n
so	se	PROper	NOMB.=s|GENRE=m	so
n	ne1	ADVneg	MORPH=empty	n
grioo	greco	NOMcom	PERS.=1|NOMB.=s|GENRE=m	grioo
n	ne2	ADVneg	MORPH=empty	n
lor	lor2	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=i	lor
s	soi1	PROper	GENRE=m	s
l	le	DETdef	NOMB.=s|GENRE=m|CAS=n	l
ocis	ocire	VERcjg	MODE=ind|PERS.=1|NOMB.=s|GENRE=m	ocis
t	tu	PROper	NOMB.=s|GENRE=m|CAS=r	t
e	et	CONcoo	MORPH=empty	e
n	ne2	ADVneg	MORPH=empty	n
