token	normalised
Lan	lan
que	que
fine	fine
fueille	fueille
et	et
flor	flor
que	que
uoi	voi
la	la
froidure	froidure
entrer	entrer
lors	lors
chant	chant
aguise	aguise
de	de
plour	plour
cautrement	cautrement
ne	ne
puis	puis
chanter	chanter
maiz	maiz
ala	ala
gent	gent
uueill	vueill
moustrer	moustrer
	
se	se
ma	ma
dame	dame
agrant	agrant
honour	honour
de	de
son	son
bon	bon
ami	ami
greuer	grever
Mes	mes
cuers	cuers
me	me
fait	fait
grant	grant
irour	irour
qͥ	qui
ne	ne
men	men
leisse	leisse
tourner	tourner
encor	encor
double	double
chascun	chascun
iour	jour
son	son
uoloir	voloir
de	de
moi	moi
lasser	lasser
qluant	qluant
loisir	loisir
ai	ai
desguarder	desguarder
seigneur	seigneur
se	se
ie	je
faiz	faiz
folour	folour
mout	mout
par	par
men	men
deuroit	devroit
peser	peser
Se	se
ie	je
laim	laim
de	de
fine	fine
amour	amour
ie	je
nen	nen
faiz	faiz
mie	mie
ablasmer	ablasmer
quen	quen
li	li
atant	atant
de	de
ualour	valour
ꝯ	com
ne	ne
la	la
puet	puet
trop	trop
amer	amer
maiz	maiz
pour	pour
dieu	dieu
li	li
uueill	vueill
mander	mander
que	que
tant	tant
most	most
dema	dema
dolour	dolour
	
que	que
lautre	lautre
puisse	puisse
porter	porter
Sonques	sonques
hom	hom
meici	meici
troua	trova
ie	je
ni	ni
doi	doi
mie	mie
faillir	faillir
conques	conques
mes	mes
hom	hom
tant	tant
nama	nama
com	com
ie	je
faiz	faiz
en	en
lonc	lonc
consir	consir
si	si
ne	ne
men	men
doi	doi
repentir	repentir
car	car
cil	cil
qui	qui
tant	tant
serui	serui
a	a
	
ne	ne
doit	doit
perdre	perdre
pour	pour
soufrir	soufrir
A	a
nului	nului
tort	tort
ne	ne
fera	fera
sele	sele
me	me
leisse	leisse
morir	morir
car	car
sienz	sienz
sui	sui
si	si
mocirra	mocirra
quãt	quant
li	li
uendra	vendra
apleisir	apleisir
mamours	mamours
nen	nen
doit	doit
pas	pas
mentir	mentir
puiz	puiz
que	que
ali	ali
me	me
dona	dona
	
bien	bien
me	me
doi	doi
en	en
ce	ce
tenir	tenir
Se	se
dieu	dieu
plaist	plaist
biens	biens
me	me
uendra	vendra
de	de
loial	loial
amour	amour
seruir	seruir
conques	conques
nus	nus
nen	nen
empira	emprra
se	se
ele	ele
li	li
uaut	vaut
merir	merrr
ia	ja
diex	diex
ne	ne
me	me
laist	laist
mentir	mentir
maiz	maiz
ason	ason
plaisir	plaisir
sera	sera
que	que
quil	quil
men	men
doine	doine
auenir	avenir
Gui	gui
de	de
ponciauz	ponciauz
au	au
finer	finer
ne	ne
uous	vous
oublierai	oublierai
ia	ja
pour	pour
uous	vous
doi	doi
la	la
mort	mort
hair	haiva
