token	normalised
Tant	Tant
de	de
soulaz	soulaz
ꝯ	com
ie	je
ai	ai
pour	pour
chanter	chanter
dame	dame
m	m
estuet	estuet
et	et
guerpir	guerpir
et	et
laissier	laissier
quant	quant
ie	je
ne	ne
puis	puis
en	en
uous	vous
merci	merci
trouuer	trouver
il	il
ꝯuendra	convendra
ma	ma
chancon	chancon
empirier	emprrier
pour	pour
ce	ce
le	le
lais	lais
que	que
ioie	joie
m	m
est	est
faillie	faillie
quant	quant
en	en
uous	vous
n	n
ai	ai
atente	atente
ne	ne
fiance	fiance
ne	ne
ia	ja
d	d
ailleurs	ailleurs
ne	ne
quer	quer
auoir	avoir
aie	aie
tout	tout
ai	ai
perdu	perdu
confort	confort
et	et
esperance	esperance
Dame	dame
de	de
uous	vous
ne	ne
me	me
sai	sai
u	u
clamer	clamer
quar	quar
sanz	sanz
amours	amours
ne	ne
m	m
en	en
puet	puet
nus	nus
uengier	vengier
pour	pour
ce	ce
m	m
estuet	estuet
pluz	pluz
et	et
pluz	pluz
comparer	comparer
uo	vo
grant	grant
ualour	valour
que	que
mal	mal
s	s
en	en
acointer	acointer
dont	dont
m	m
ociez	ociez
et	et
ma	ma
granz	granz
mescheance	mescheance
	
a	a
si	si
de	de
moi	moi
toute	toute
ioie	joie
partie	partie
	
que	que
uiure	viure
naim	naim
dont	dont
ia	ja
n	n
aurai	avrai
poissance	poissance
Com	com
escilliez	escilliez
doit	doit
folement	folement
parler	parler
cil	cil
qui	qui
amours	amours
puet	puet
si	si
desconseillier	desconseillier
ꝯel	comel
fait	fait
moi	moi
qui	qui
ne	ne
m	m
i	i
soi	soi
guarder	guarder
si	si
croi	croi
ma	ma
mort	mort
quant	quant
ma	ma
uolente	volente
quier	quier
ie	je
nel	nel
di	di
pas	pas
dame	dame
par	par
felenie	felenie
maiz	maiz
hom	hom
destrois	destrois
est	est
touz	touz
iours	jours
en	en
balance	balance
et	et
si	si
aim	aim
tant	tant
la	la
uostre	vostre
ꝯpaignie	compaignie
que	que
li	li
desirs	desirs
double	double
ma	ma
mesestance	mesestance
Dex	dex
qui	qui
porroit	porroit
si	si
grant	grant
amour	amour
porter	porter
qui	qui
touz	touz
iours	jours
croist	croist
et	et
sanz	sanz
apeticier	apeticier
par	par
mon	mon
fin	fin
cuer	cuer
qui	qui
ne	ne
puet	puet
oublier	oublier
ce	ce
que	que
trop	trop
ueut	veut
si	si
ne	ne
m	m
eust	eust
mestier	mestier
ie	je
n	n
i	i
fais	fais
sens	sens
ne	ne
ie	je
n	n
i	i
uoi	voi
folie	folie
pour	pour
ce	ce
nasqui	nasqui
cele	cele
uie	vie
n	n
ai	ai
poissance	poissance
	
que	que
me	me
destruit	destruit
raisons	raisons
et	et
abstinance	abstinance
