token	normalised
Cil	Cil
qui	qui
damour	damour
me	me
conseille	conseille
que	que
de	de
li	li
doie	doie
partir	partir
ne	ne
set	set
pas	pas
qui	qui
me	me
resueille	resveille
ne	ne
quel	quel
sunt	sunt
mi	mi
grief	grief
souspir	souspir
petit	petut
a	a
sent	sent
et	et
uoisdie	voisdie
cil	cil
qui	qui
me	me
ueut	veut
chastoier	chastoier
nonques	nonques
nama	nama
en	en
sa	sa
uie	vie
si	si
fait	fait
trop	trop
nice	nice
folie	folie
qui	qui
sentremet	sentremet
du	du
mestier	mestier
dont	dont
il	il
ne	ne
se	se
set	set
aidier	aidier
Ha	ma
	
blanche	blanche
clere	clere
et	et
uermeille	vermeille
de	de
uous	vous
sunt	sunt
tout	tout
mi	mi
desir	desir
car	car
faites	faites
une	une
merueille	merveille
droiture	droiture
et	et
raison	raison
faillir	faillir
que	que
ie	je
uous	vous
tieigne	tiefgne
aamie	aamie
drois	drois
nel	nel
porroit	porroit
otroier	otroier
se	se
uostre	vostre
granz	granz
seignourie	seignourie
plainne	plainne
debonte	debonte
guarnie	guarnie
ne	ne
mi	mi
uuelent	vuelent
conseillier	conselllier
	
mar	mar
uous	vous
ui	vi
et	et
ma	ma
mort	mort
quier	quier
Poures	poures
cuers	cuers
se	se
desconseille	desconseille
et	et
lait	lait
de	de
paour	paour
morir	morir
et	et
uiguereuz	viguereuz
sappareille	sappareille
en	en
biau	biau
confort	confort
de	de
guerir	guerir
dame	dame
maiz	maiz
rienz	rienz
que	que
ie	je
die	die
ne	ne
me	me
me	me
uaut	vaut
quar	quar
ie	je
sourquier	sourquier
sun	sun
petit	petut
de	de
felonie	felonie
esprise	esprise
de	de
uilene	vilene
uous	vous
fait	fait
pitie	pitie
desuoier	desvoier
	
mar	mar
uous	vous
oi	oi
tant	tant
prisier	prisier
Qui	qui
trop	trop
haut	haut
bee	bee
et	et
teseille	teseille
maint	maint
desconfort	desconfort
puet	puet
oir	oir
maiz	maiz
tresgranz	tresgranz
amours	amours
pareille	pareille
ce	ce
que	que
li	li
plaist	plaist
asoufrir	asoufrir
sa	sa
tresgrande	tresgrande
seignorie	seignorie
puet	puet
monter	monter
et	et
auoier	avoier
douce	douce
dame	dame
uostre	vostre
aie	aie
cele	cele
qui	qui
ma	ma
enbaillie	enbaillie
puet	puet
bien	bien
condiure	condiure
et	et
haucier	haucier
	
mon	mon
outrageus	outrageus
desirrier	desirrier
Dedenz	dedenz
mon	mon
cuer	cuer
monte	monte
treille	treille
toute	toute
preste	preste
de	de
flourir	flourir
fine	fine
amours	amours
bone	bone
et	et
feeille	feeille
qui	qui
la	la
deigneroit	deigneroit
ioir	joira
maiz	maiz
amours	amours
qui	qui
nest	nest
ioie	joie
ne	ne
puet	puet
cuer	cuer
esleecier	esleecier
se	se
la	la
mors	mors
ne	ne
me	me
chastie	chastie
ma	ma
uolentea	volentea
manemie	manemie
ne	ne
puis	puis
mon	mon
biau	biau
tort	tort
chanleissier	chanleissier
	
ne	ne
mon	mon
outrage	outrage
changier	changier
