token	lemma	POS	morph	treated
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	Li
pluz	plus	ADVgen	CAS=n|DEGRE=-	pluz
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	se
plaint	plaindre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	plaint
damours	damoir	NOMcom	NOMB.=s|GENRE=m|CAS=n	damours
maiz	mais1	CONcoo	NOMB.=s	maiz
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ie
nos	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=i	nos
dire	dire	VERinf	MODE=ind|PERS.=3	dire
quainc	cant2	CONsub	NOMB.=s|DEGRE=-	quainc
anul	anul	ADJcar	NOMB.=s|GENRE=m|CAS=r	anul
iour	jor	NOMcom	NOMB.=s|GENRE=m|CAS=r	iour
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
uouaument	voloir	VERcjg	MORPH=empty	uouaument
sanz	sans	PRE	MORPH=empty	sanz
trichier	tricherie	VERinf	CAS=r	trichier
		PONfbl	MORPH=empty	
de	de	PRE	MORPH=empty	de
duel	duel	NOMcom	NOMB.=s|GENRE=m|CAS=r	duel
morrai	morir	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	morrai
se	se	CONsub	MORPH=empty	se
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
uoi	aler	VERcjg	MODE=ind|PERS.=1|NOMB.=s	uoi
escondire	escondire	VERinf	MORPH=empty	escondire
Diex	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n	Diex
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ie
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
ia	ja	ADVgen	DEGRE=-	ia
de	de	PRE	MORPH=empty	de
si	si	ADVgen	DEGRE=-	si
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	grant
ioie	vie1	NOMcom	NOMB.=s|GENRE=f|CAS=r	ioie
sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n	sire
quant	cant1	CONsub	MORPH=empty	quant
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=n	sa
biautez	biauté	NOMcom	NOMB.=s|GENRE=f|CAS=n	biautez
la	il	PROper	PERS.=3|GENRE=f|CAS=r|DEGRE=-	la
me	je	PROper	PERS.=1|NOMB.=s|GENRE=f|CAS=i	me
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fist
acointier	acointier	VERinf	MORPH=empty	acointier
or	or4	ADVgen	GENRE=m|CAS=r|DEGRE=-	or
trai	traire	VERcjg	MODE=ind|PERS.=1|NOMB.=s	trai
pour	por2	PRE	MORPH=empty	pour
li	il	PROper	NOMB.=s|GENRE=m|CAS=r	li
painne	peine	NOMcom	NOMB.=s|CAS=r	painne
trauaill	travaillon	ADJqua	NOMB.=s|GENRE=m|CAS=r	trauaill
et	et	CONcoo	MORPH=empty	et
ire	ire	NOMcom	NOMB.=s|GENRE=f|CAS=r	ire
et	et	CONcoo	MORPH=empty	et
nonpourquant	neporcant	ADVgen	DEGRE=-	nonpourquant
trop	trop	ADVgen	DEGRE=-	trop
i	i2	PROadv	MORPH=empty	i
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
dous	deus	DETcar	NOMB.=p|GENRE=m|CAS=r	dous
mestier	mestier	NOMcom	NOMB.=s|GENRE=m|CAS=r	mestier
forment	forment2	ADVgen	DEGRE=-	forment
lai	laissier	ADVgen	DEGRE=-	lai
chier	chier	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	chier
mais	mais1	CONcoo	MORPH=empty	mais
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
cors	cors1	NOMcom	NOMB.=s|GENRE=m|CAS=r	cors
men	mon1	ADJpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	men
empire	empire	NOMcom	NOMB.=s|GENRE=m|CAS=r	empire
dier	dire	VERinf	GENRE=m	dier
quai	caire	PROrel	NOMB.=s	quai
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ie
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	dit
nen	ne1	ADVneg	MORPH=empty	nen
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	puet
pas	pas	ADVneg	MORPH=empty	pas
empirier	empirier	VERinf	MORPH=empty	empirier
		PONfbl	MORPH=empty	
de	de	PRE	MORPH=empty	de
li	il	PROper	NOMB.=s|GENRE=m|CAS=i	li
amer	amer1	VERinf	NOMB.=s	amer
sele	sele	NOMcom	NOMB.=s|GENRE=f|CAS=r	sele
en	en2	PROadv	MORPH=empty	en
ueut	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	ueut
estre	estre1	VERinf	MORPH=empty	estre
mire	mire1	NOMcom	NOMB.=s|GENRE=m|CAS=n	mire
Maiz	mais1	CONcoo	GENRE=m|CAS=n	Maiz
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ie
ne	ne1	ADVneg	MORPH=empty	ne
sai	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	sai
conment	coment1	ADVsub	MORPH=empty	conment
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r	ma
ioie	voie	NOMcom	NOMB.=s|GENRE=f|CAS=r	ioie
eslise	eslire	VERcjg	PERS.=3|NOMB.=s|GENRE=f	eslise
puis	puis	ADVgen	DEGRE=-	puis
que	que4	CONsub	MORPH=empty	que
par	par	PRE	MORPH=empty	par
tout	tot	PROind	NOMB.=s|GENRE=n|CAS=r	tout
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	fait
samour	samoir	NOMcom	NOMB.=s|GENRE=f|CAS=r	samour
doloir	doloir	VERinf	MORPH=empty	doloir
quar	car	CONcoo	MORPH=empty	quar
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ie
