token	normalised
Les	les
oiseillons	oiseillons
de	de
mon	mon
pais	pais
aiois	ajois
en	en
bretaigne	bretaigne
a	a
lor	lor
chans	chans
m	m
est	est
il	il
bien	bien
auis	avis
qu	qu
en	en
la	la
douce	douce
champaigne	champaigne
les	les
oi	oi
iadis	jadis
s	s
e	e
n	n
i	i
ai	ai
mespris	mespris
il	il
mout	mout
ensi	ensi
douz	douz
penser	penser
mis	mis
qu	qu
a	a
chancon	chancon
faire	faire
me	me
sui	sui
pris	pris
tant	tant
que	que
ie	ie
par	par
ataigne	ataigne
ce	ce
qu	qu
amours	amours
m	m
a	a
lonc	lonc
tans	tans
pramis	pramis
Se	Se
longue	longue
atente	atente
m	m
esbahissans	esbahissans
ce	ce
que	que
ie	ie
m	m
en	en
plaigne	plaigne
ce	ce
me	me
taut	taut
le	le
gieu	gieu
et	et
le	le
ris	ris
nus	nus
cui	cui
amours	amours
destraigne	destraigne
n	n
est	est
de	de
l	l
ententis	ententis
mon	mon
cors	cors
et	et
monuistrius	monuistrius
si	si
mainte	mainte
foiz	foiz
entrepris	entrepris
c	c
un	un
fol	fol
samblant	samblant
i	i
ai	ai
apris	apris
qui	qui
qu	qu
en	en
amer	amer
mespraigne	mespraigne
ainc	ainc
certes	certes
plus	plus
ne	ne
li	li
mesfis	mesfis
Ainc	Ainc
uers	vers
amours	amours
rienz	rienz
ne	ne
forfis	forfis
ia	ja
de	de
moi	moi
ne	ne
se	se
plaigne	plaigne
ainz	ainz
sui	sui
pour	pour
li	li
seruir	servir
nasquis	nasquis
coument	coument
que	que
me	me
destraigne	destraigne
par	par
un	un
tres	tres
douz	douz
ris	ris
sui	sui
de	de
ioie	joie
espris	espris
que	que
se	se
giere	giere
rois	rois
de	de
paris	paris
u	u
sires	sires
d	d
alemaigne	alemaigne
n	n
auroie	auroie
tant	tant
de	de
mes	mes
delis	delis
qu	qu
amours	amours
me	me
fait	fait
cuidier	cuidier
tous	tous
dis	dis
Bien	Bien
doit	doit
estre	estre
liez	liez
et	et
iolis	jolis
cui	cui
amors	amors
tant	tant
adaigne	adaigne
que	que
il	il
se	se
truist	truist
loiaus	loiaus
amis	amis
et	et
qu	qu
a	a
amer	amer
la	la
praigne	praigne
ne	ne
doit	doit
estre	estre
eschis	eschis
maiz	maiz
ades	ades
sougis	sougis
a	a
celi	celi
cui	cui
proie	proie
mercis	mercis
puis	puis
que	que
son	son
cuer	cuer
a	a
en	en
li	li
mis	mis
sanz	sanz
partir	partir
si	si
ataigne	ataigne
pour	pour
estre	estre
de	de
ioie	joie
plus	plus
fis	fis
