token	lemma	POS	morph	treated
En	en1	PRE	MORPH=empty	En
cel	cel	DETdem	NOMB.=s|GENRE=m|CAS=r	cel
tanz	tant	NOMcom	NOMB.=s|GENRE=m|CAS=r	tanz
que	que4	CONsub	NOMB.=s|CAS=r	que
voi	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	voi
former	former	VERinf	MORPH=empty	former
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r	les
arbres	arbre	NOMcom	NOMB.=p|GENRE=m|CAS=r	arbres
et	et	CONcoo	MORPH=empty	et
blanchoier	blanchoiier	VERinf	MORPH=empty	blanchoier
mest	metre2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	mest
pris	prendre	VERppe	NOMB.=p|GENRE=m|CAS=r	pris
talenz	talent	NOMcom	NOMB.=p|GENRE=m|CAS=r	talenz
de	de	PRE	MORPH=empty	de
chanter	chanter	VERinf	MORPH=empty	chanter
si	se	ADVgen	DEGRE=-	si
n	ne1	ADVneg	MORPH=empty	n
en	en2	PROadv	MORPH=empty	en
eusse	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	eusse
mestier	mestier	NOMcom	NOMB.=s|GENRE=m|CAS=r	mestier
qu	que4	CONsub	GENRE=f	qu
amours	amor	NOMcom	NOMB.=s|GENRE=f|CAS=n	amours
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
fet	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	fet
comperer	comparer2	VERinf	MORPH=empty	comperer
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
c	que4	PROrel	NOMB.=s|GENRE=n|CAS=n	c
onques	onque	ADVgen	DEGRE=-	onques
ne	ne1	ADVneg	MORPH=empty	ne
seut	soloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	seut
richier	Richier	VERinf	CAS=n	richier
n	ne2	CONcoo	MORPH=empty	n
onques	onque	ADVgen	DEGRE=-	onques
ne	ne1	CONcoo	MORPH=empty	ne
peu	pöoir	ADVgen	NOMB.=s	peu
endurer	endurer	VERinf	MORPH=empty	endurer
a	a3	PRE	TEMPS=pst	a
avoir	avoir	VERinf	MORPH=empty	avoir
faus	faus	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	faus
