token	normalised
En	en
grant	grant
auenture	aventure
ai	ai
mise	mise
la	la
dolour	dolour
quai	quai
eue	eve
tant	tant
maiz	maiz
ce	ce
malume	malume
et	et
atise	atise
que	que
li	li
pluz	pluz
loial	loial
amant	amant
sõt	sont
mais	mais
mout	mout
petit	petut
ioiant	joiant
las	las
se	se
ie	je
pert	pert
mon	mon
seruise	seruise
et	et
le	le
douz	douz
guerredon	guerredon
grant	grant
que	que
mes	mes
cuers	cuers
tant	tant
aimme	aimme
et	et
prise	prise
quailleurs	quailleurs
ne	ne
uait	vait
desirrant	desirrant
encor	encor
mi	mi
uois	vois
atendant	atendant
maiz	maiz
trop	trop
dout	dout
uostre	vostre
frãchise	franchise
Pour	pour
li	li
ai	ai
tel	tel
chose	chose
emprise	emprise
qui	qui
souuent	souvent
me	me
fait	fait
dolant	dolant
et	et
me	me
mainne	mainne
en	en
tante	tante
guise	guise
quen	quen
ueillier	veillier
et	et
en	en
pensant	pensant
men	men
uois	vois
ie	je
la	la
nuit	nuit
passant	passant
bien	bien
me	me
tient	tient
en	en
sa	sa
iustice	justice
si	si
naim	naim
ie	je
nule	nule
rienz	rienz
tant	tant
ꝯme	comme
celi	celi
u	u
iai	Kai
prise	prise
ma	ma
mort	mort
en	en
son	son
bel	bel
samblãt	samblant
folz	folz
est	est
qui	qui
me	me
uait	vait
plaignant	plaignant
ie	je
lai	lai
pourchacie	pourchacie
et	et
quise	quise
Dame	dame
en	en
qui	qui
biautez	brautez
sest	sest
mise	mise
cheueuz	cheveuz
blons	blons
cors	cors
auenant	avenant
et	et
de	de
blanchete	blanchete
esprise	esprise
uermeille	vermeille
bouche	bouche
et	et
riant	rrant
uis	vis
traitis	traitis
fres	fres
et	et
plaisant	plaisant
soez	soez
desouz	desouz
sa	sa
chemise	chemise
ie	je
nel	nel
sai	sai
fors	fors
en	en
quidant	quidant
certes	certes
de	de
sa	sa
seandise	seandise
ne	ne
sai	sai
ie	je
nule	nule
uuiant	vuiant
grasse	grasse
et	et
graille	grallle
et	et
bien	bien
parlant	parlant
	
la	la
fist	fist
diex	diex
asa	asa
deuise	devise
Mis	mis
me	me
sui	sui
en	en
ceste	ceste
painne	painne
que	que
chascun	chascun
iour	jour
sent	sent
doubler	doubler
et	et
ades	ades
cist	cist
mauz	mauz
mengrainne	mengrainne
quele	quele
me	me
fait	fait
endurer	endurer
ie	je
nen	nen
puis	puis
uis	vis
eschaper	eschaper
quar	quar
ma	ma
santez	santez
mest	mest
lontainne	lontainne
qui	qui
si	si
me	me
fait	fait
effreer	effreer
cele	cele
est	est
de	de
cruaute	cruaute
plainne	plainne
qui	qui
la	la
me	me
porroit	porroit
douner	douner
simple	simple
chiere	chiere
set	set
moustrer	moustrer
	
maiz	maiz
il	il
na	na
pluz	pluz
male	male
u	u
rainne	rainne
uers	vers
moi	moi
est	est
dure	dure
et	et
soutainne	soutainne
nochoison	nochoison
ni	ni
set	set
trouuer	trouver
se	se
diex	diex
ꝯme	comme
doint	doint
bone	bone
estrainne	estrainne
fors	fors
tant	tant
que	que
ie	je
los	los
amer	amer
ele	ele
en	en
fait	fait
mout	mout
ablasmer	ablasmer
quant	quant
ele	ele
est	est
de	de
ce	ce
uilainne	vilainne
	
quele	quele
ne	ne
me	me
puet	puet
ueer	veer
ia	ja
est	est
ce	ce
la	la
premerainne	premerainne
que	que
ionques	jonques
osaisse	osaisse
amer	amer
nus	nus
ne	ne
men	men
porroit	porroit
tourner	tourner
	
que	que
ne	ne
soit	soit
la	la
daerrainne	daerrainne
