token	lemma	POS	morph	treated
mes	mon1	DETpos	PERS.=1|GENRE=m|CAS=r	mes
cuers	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=n	cuers
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	fait
penser	penser	VERinf	MORPH=empty	penser
ancoiz	ainçois	ADVgen	NOMB.=p|GENRE=m|DEGRE=-	ancoiz
mesprent	mesprendre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p	mesprent
pluz	plus	ADVgen	DEGRE=c	pluz
damer	damer	VERinf	MORPH=empty	damer
et	et	CONcoo	MORPH=empty	et
si	si	ADVgen	DEGRE=-	si
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	dit
et	et	CONcoo	MORPH=empty	et
semont	semondre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s|CAS=n	semont
et	et	CONcoo	MORPH=empty	et
aonde	aoner	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|CAS=n	aonde
que	que4	CONsub	MORPH=empty	que
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ie
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
face	faire	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=s	face
encor	encore	ADVgen	DEGRE=-	encor
pluz	plus	ADVgen	DEGRE=-	pluz
maus	mal1	NOMcom	NOMB.=p|CAS=r|DEGRE=p	maus
auoir	avoir	VERinf	MORPH=empty	auoir
maiz	mais1	CONcoo	NOMB.=p|GENRE=f|CAS=r|DEGRE=c	maiz
amours	amor	NOMcom	NOMB.=p|GENRE=f|CAS=r	amours
ma	mon1	ADVgen	PERS.=1|NOMB.=s|CAS=r	ma
si	si	ADVgen	DEGRE=-	si
mis	metre2	VERppe	MODE=ind|PERS.=1|NOMB.=s|CAS=r	mis
en	en1	PRE	MORPH=empty	en
non	nom	NOMcom	NOMB.=s	non
chaloir	chaloir	VERinf	MORPH=empty	chaloir
		PONfbl	MORPH=empty	
que	que4	CONsub	MORPH=empty	que
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ie
ne	ne1	ADVneg	MORPH=empty	ne
cuit	cuidier1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	cuit
que	que4	CONsub	MORPH=empty	que
nus	nul	DETind	PERS.=1|NOMB.=s|GENRE=m|CAS=n	nus
biens	bien1	NOMcom	NOMB.=p|GENRE=m|CAS=n	biens
men	je	ADVgen	PERS.=1|NOMB.=s|GENRE=m|CAS=r	men
desponde	despondre	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s|GENRE=m	desponde
Ce	ce1	DETdem	NOMB.=s|GENRE=n|CAS=r	Ce
quele	quel1	PROrel	NOMB.=s|GENRE=n|CAS=r	quele
nest	naistre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	nest
si	si	ADVgen	DEGRE=-	si
estraigne	estraiment	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p	estraigne
fait	faire	VERcjg	PERS.=3|NOMB.=s|GENRE=f	fait
Boine	bonir	NOMpro	NOMB.=s|GENRE=f|CAS=n	Boine
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n	dame
uu	o3	PROrel	NOMB.=s|GENRE=m	uu
prie	priier	NOMcom	MODE=ind|NOMB.=s	prie
de	de	PRE	MORPH=empty	de
chanter	chanter	VERinf	MORPH=empty	chanter
doiuent	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	doiuent
requerre	requerre	VERinf	MORPH=empty	requerre
par	par	PRE	MORPH=empty	par
mentir	mentir	VERinf	MORPH=empty	mentir
		PONfbl	MORPH=empty	
quil	qui+il	PROrel	NOMB.=p|CAS=r	quil
ne	ne1	ADVneg	MORPH=empty	ne
seussent	savoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=p	seussent
parler	parler	VERinf	MORPH=empty	parler
nes	ne1+il	NOMcom	NOMB.=p|GENRE=f|CAS=r	nes
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r	un
language	langage	NOMcom	NOMB.=s|GENRE=m|CAS=r	language
