token	lemma	POS	morph	treated
sanz	sans	PRE	MORPH=empty	sanz
atente	atente	NOMcom	NOMB.=s|GENRE=f|CAS=r	atente
de	de	PRE	MORPH=empty	de
guerredon	guerredon	NOMcom	NOMB.=s|GENRE=m|CAS=r	guerredon
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	m
otroi	otroiier	VERcjg	MODE=ind|PERS.=1|NOMB.=s	otroi
a	a3	PRE	MORPH=empty	a
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r	ma
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=r	dame
seruir	servir	VERinf	MORPH=empty	seruir
puis	puis	ADVgen	DEGRE=-	puis
que	que4	CONsub	MORPH=empty	que
toutes	tot	DETind	NOMB.=p|GENRE=f|CAS=r	toutes
entention	intencïon	NOMcom	NOMB.=s|GENRE=f|CAS=r	entention
atournee	atorner	VERppe	NOMB.=s|GENRE=f|CAS=n	atournee
vers	vers2	PRE	MORPH=empty	vers
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	moi
haiva	häir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	haiva
qu	que4	CONsub	MORPH=empty	qu
ele	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	ele
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	m
ocit	ocire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ocit
a	avoir	PRE	MORPH=empty	a
des	de+le	PRE.DETdef	NOMB.=p|GENRE=f|CAS=r	des
raison	raison	NOMcom	NOMB.=s|GENRE=f|CAS=r	raison
ja	ja	ADVgen	DEGRE=-	ja
diex	dieu	NOMcom	NOMB.=s|GENRE=m|CAS=n	diex
maiz	mais1	CONcoo	GENRE=m|CAS=n	maiz
ne	ne1	ADVneg	MORPH=empty	ne
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	m
i	i2	PROadv	MORPH=empty	i
doint	doner	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	doint
joira	jöir	VERcjg	MODE=ind|TEMPS=fut|NOMB.=s	joira
		PONfbl	MORPH=empty	
de	de	PRE	MORPH=empty	de
rienz	rien	PROind	NOMB.=p|GENRE=f|CAS=r	rienz
maiz	mais1	CONcoo	GENRE=m|CAS=r	maiz
que	que4	CONsub	MORPH=empty	que
du	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	du
tost	tost1	ADVgen	NOMB.=s	tost
morir	morir	VERinf	MORPH=empty	morir
autrement	autrement	ADVgen	DEGRE=-	autrement
ne	ne1	ADVneg	MORPH=empty	ne
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	puet
faillir	falir	VERinf	MORPH=empty	faillir
		PONfbl	MORPH=empty	
lire	lire1	VERinf	MORPH=empty	lire
donc	donc	ADVgen	DEGRE=-	donc
els	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=i	els
et	et	CONcoo	MORPH=empty	et
l	le	DETdef	NOMB.=s|GENRE=f|CAS=r	l
ochoison	ochaison	NOMcom	NOMB.=s|GENRE=f|CAS=r	ochoison
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	grant
mestier	mestier	NOMcom	NOMB.=s|GENRE=m|CAS=r	mestier
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
de	de	PRE	MORPH=empty	de
guerredon	guerredon	NOMcom	NOMB.=s|GENRE=m|CAS=r	guerredon
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
aine	aine	NOMcom	NOMB.=s|CAS=r	aine
ne	ne1	ADVneg	MORPH=empty	ne
fina	finer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fina
deseruir	deservir	VERinf	MORPH=empty	deseruir
et	et	CONcoo	MORPH=empty	et
g	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	g
i	i2	PROadv	MORPH=empty	i
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
si	si	ADVgen	DEGRE=-	si
mentention	mentencïon	NOMcom	NOMB.=s|GENRE=f|CAS=r	mentention
qu	que4	CONsub	MORPH=empty	qu
il	il	PROper	PERS.=0|NOMB.=s|GENRE=m|CAS=n	il
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
convient	covenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	convient
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	mon
bien	bien1	NOMcom	GENRE=m|CAS=r|DEGRE=p	bien
haiva	abier	NOMcom	NOMB.=s	haiva
pout	pöoir	VERcjg	MODE=ind|NOMB.=s	pout
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
si	si	DETpos	MORPH=empty	si
tiefg	tenir1	NOMcom	NOMB.=s|GENRE=m	tiefg
a	avoir	PRE	MODE=ind	a
des	de+le	PRE.DETdef	NOMB.=p|GENRE=f|CAS=r	des
raison	raison	NOMcom	NOMB.=s|GENRE=f|CAS=r	raison
		PONfbl	MORPH=empty	
de	de	PRE	MORPH=empty	de
touz	tot	DETind	NOMB.=p|GENRE=m|CAS=r	touz
jours	jor	NOMcom	NOMB.=p|GENRE=m|CAS=r	jours
amer	amer1	VERinf	MORPH=empty	amer
sanz	sans	PRE	MORPH=empty	sanz
merrr	merre1	VERinf	MORPH=empty	merrr
mainz	moins	DETind	NOMB.=p|CAS=r	mainz
aim	amer1	NOMcom	MODE=ind|PERS.=1|NOMB.=s	aim
tel	tel	DETind	NOMB.=s|GENRE=f|CAS=r	tel
vie	vie1	NOMcom	NOMB.=s|GENRE=f|CAS=r	vie
que	que4	CONsub	MORPH=empty	que
morir	morir	VERinf	MORPH=empty	morir
quar	car	CONcoo	DEGRE=-	quar
a	a3	PRE	MORPH=empty	a
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
ne	ne1	ADVneg	MORPH=empty	ne
puiz	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	puiz
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
faillir	falir	VERinf	MORPH=empty	faillir
si	si	ADVgen	DEGRE=-	si
en	en2	PROadv	MORPH=empty	en
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
loial	lëal	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	loial
ochoison	ochaison	NOMcom	NOMB.=s|GENRE=f|CAS=r	ochoison
mout	mout	ADVgen	DEGRE=-	mout
tiefg	tenir1	NOMcom	NOMB.=s|GENRE=m|CAS=r	tiefg
a	avoir	PRE	MODE=ind	a
cruel	crüel	ADJqua	NOMB.=s|CAS=r|DEGRE=p	cruel
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
prison	prison	NOMcom	NOMB.=s|GENRE=f|CAS=r	prison
dont	dont	PROrel	NOMB.=s|GENRE=f|CAS=i	dont
fins	fin2	ADJqua	NOMB.=s|GENRE=m|CAS=n	fins
amis	ami	NOMcom	NOMB.=s|GENRE=m|CAS=n	amis
ne	ne1	ADVneg	MORPH=empty	ne
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	puet
issir	issir	VERinf	MORPH=empty	issir
pour	por2	PRE	MORPH=empty	pour
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
se	se	CONsub	MORPH=empty	se
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=n	mon
