token	normalised
Iaim	aaim
par	par
coustume	coustume
et	et
par	par
us	us
	
la	la
u	u
ie	je
ne	ne
puis	puis
ataindre	ataindre
et	et
chant	chant
ꝯ	com
amis	amis
et	et
drus	drus
	
qui	qui
damours	damours
ne	ne
sose	sose
plaindre	plaindre
sẽ	sen
ai	ai
mout	mout
de	de
mauz	mauz
eus	eus
maiz	maiz
ne	ne
men	men
doi	doi
mie	mie
faindre	faindre
pour	pour
si	si
dous	dous
fais	fais
metre	metre
ius	jus
ia	ja
diex	diex
ne	ne
mi	mi
lait	lait
enfraindre	enfraindre
	
un	un
seul	seul
iour	jour
de	de
bien	bien
amer	amer
Nest	nest
pas	pas
drois	drois
que	que
ie	je
refus	refus
la	la
doleur	doleur
qui	qui
me	me
fait	fait
taindre	taindre
ma	ma
dame	dame
est	est
douce	douce
iaue	jave
et	et
fus	fus
pour	pour
moi	moi
esprendre	esprendre
et	et
estaindre	estaindre
maiz	maiz
ce	ce
ne	ne
fist	fist
onques	onques
nus	nus
premiers	premiers
dorer	dorer
et	et
puis	puis
paindre	paindre
apremiers	apremiers
fui	fui
bien	bien
uenus	venus
pour	pour
tant	tant
est	est
ma	ma
doleurs	doleurs
graindre	graindre
	
que	que
truis	truis
apres	apres
dous	dous
amer	amer
Lire	lire
par	par
coi	coi
mest	mest
faluz	faluz
douz	douz
samblant	samblant
na	na
pas	pas
faussee	faussee
ma	ma
uolente	volente
ainz	ainz
aim	aim
plus	plus
ma	ma
dame	dame
uers	vers
moi	moi
iree	iree
se	se
amours	amours
ni	ni
fait	fait
uertuz	vertuz
qui	qui
seur	seur
moi	moi
sest	sest
esprouuee	esprouuee
ia	ja
son	son
pris	pris
nen	nen
iert	iert
creuz	creuz
ainz	ainz
li	li
sera	sera
reprouuee	reprouuee
	
ma	ma
loiautez	loiautez
sanz	sanz
fausfer	fausfer
Ma	ma
dame	dame
acui	acui
sui	sui
renduz	renduz
a	a
ma	ma
ioie	joie
emprisonee	emprisonee
et	et
le	le
douz	douz
samblãt	samblant
repus	repus
dont	dont
ele	ele
ma	ma
mort	mort
donnee	donnee
se	se
damer	damer
sui	sui
mescreuz	mescreuz
quai	quai
ie	je
dit	dit
fole	fole
pensee	pensee
se	se
iestoie	iestoie
rois	rois
u	u
dux	dux
si	si
fust	fust
de	de
moi	moi
tant	tant
amee	amee
	
li	li
deuroit	devroit
ele	ele
penser	penser
Tant	Tant
est	est
de	de
moi	moi
au	au
desus	desus
que	que
ie	je
criem	criem
quel	quel
ne	ne
mocie	mocie
se	se
ne	ne
sui	sui
ramenteuz	ramenteuz
damours	damours
qui	qui
parage	parage
oublie	oublie
bien	bien
muert	mvert
li	li
samblanz	samblanz
rẽduz	renduz
et	et
la	la
douce	douce
compaignie	compaignie
dont	dont
criem	criem
estre	estre
deceuz	deceuz
maiz	maiz
esperance	esperance
mafie	mafie
	
tout	tout
ades	ades
de	de
recouurer	recouurer
Chascun	chascun
iour	jour
sui	sui
assaluz	assaluz
damor	damor
qui	qui
ma	ma
en	en
baillie	baillie
soie	soie
merci	merci
desfenduz	desfenduz
uers	vers
li	li
ne	ne
me	me
sui	sui
ie	je
mie	mie
bien	bien
en	en
doi	doi
estre	estre
creuz	creuz
quar	quar
ie	je
laĩ	lain
sanz	sanz
trecherie	trecherie
si	si
soie	soie
ie	je
chier	chier
tenus	tenus
de	de
ma	ma
dame	dame
bien	bien
seruie	seruie
	
lonc	lonc
tanz	tanz
sanz	sanz
guerredouner	guerredouner
Et	et
quant	quant
li	li
plaira	plarra
merie	merie
iert	iert
la	la
painne	painne
et	et
retenuz	retenuz
	
blondiauz	blondiauz
cui	cui
amours	amours
desfie	desfie
	
saim	saim
ne	ne
le	le
ueut	veut
clamer	clamer
