token	lemma	POS	morph	treated
Humilitez	umelité	NOMcom	NOMB.=s|GENRE=m|CAS=n	Humilitez
et	et	CONcoo	MORPH=empty	et
franchise	franchise	NOMcom	NOMB.=s|GENRE=f|CAS=n	franchise
doucours	douçor	ADJqua	NOMB.=p|GENRE=f|CAS=n|DEGRE=p	doucours
deboneretez	debonaireté	NOMcom	NOMB.=s|GENRE=m|CAS=n	deboneretez
		PONfbl	MORPH=empty	
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
bien	bien1	ADVgen	DEGRE=p	bien
alee	aler	VERppe	NOMB.=s|GENRE=f|CAS=n	alee
et	et	CONcoo	MORPH=empty	et
remise	remetre	VERppe	TEMPS=pst|NOMB.=s|GENRE=f|CAS=n	remise
et	et	CONcoo	MORPH=empty	et
orgueus	orgoillos	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p	orgueus
et	et	CONcoo	MORPH=empty	et
faussetez	fausseté	NOMcom	NOMB.=p|GENRE=f|CAS=n	faussetez
		PONfbl	MORPH=empty	
repris	reprendre1	VERppe	NOMB.=s|GENRE=m|CAS=n	repris
et	et	CONcoo	MORPH=empty	et
enracinez	enraciner	VERppe	NOMB.=s|GENRE=m|CAS=n	enracinez
et	et	CONcoo	MORPH=empty	et
amours	amor	NOMcom	NOMB.=s|GENRE=f|CAS=n	amours
mout	mout	ADVgen	DEGRE=-	mout
entreprise	entreprendre	VERppe	NOMB.=s|GENRE=f|CAS=n	entreprise
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ie
men	mien	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=n	men
plaig	plain	NOMcom	NOMB.=s|GENRE=m|CAS=n	plaig
pout	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	pout
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	mon
seruise	servir	NOMcom	NOMB.=s|GENRE=m|CAS=r	seruise
qui	que2	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
tant	tant	ADVgen	DEGRE=-	tant
men	je	ADVgen	PERS.=1|NOMB.=s|GENRE=n	men
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
demourez	demorer	VERppe	NOMB.=s|GENRE=m|CAS=n	demourez
		PONfbl	MORPH=empty	
que	que4	CONsub	MORPH=empty	que
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ie
cuit	cuidier1	VERcjg	MODE=ind|PERS.=1|NOMB.=s	cuit
quil	que3	PROrel	NOMB.=s|CAS=n	quil
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
remez	remanoir	VERppe	NOMB.=s|GENRE=m|CAS=n	remez
He	e2	PRE	MORPH=empty	He
		PONfbl	MORPH=empty	
diex	dieu	NOMcom	NOMB.=s|GENRE=m|CAS=n	diex
pour	por2	PRE	MORPH=empty	pour
coi	que3	PROrel	NOMB.=s|GENRE=m|CAS=r	coi
ne	ne1	ADVneg	MORPH=empty	ne
sest	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	sest
mise	metre2	VERppe	NOMB.=s|GENRE=f|CAS=n	mise
doucours	douçor	NOMcom	NOMB.=s|GENRE=m|CAS=n	doucours
auec	avuec	PRE	CAS=n|DEGRE=-	auec
simpletez	simpleté	NOMcom	NOMB.=p|GENRE=m|CAS=n	simpletez
en	en1	PRE	MORPH=empty	en
cele	cel	PROdem	NOMB.=s|GENRE=f|CAS=r	cele
qui	que2	PROrel	NOMB.=s|GENRE=f|CAS=n	qui
par	par	PRE	MORPH=empty	par
deuise	devoir	NOMcom	MODE=ind|TEMPS=pst|NOMB.=s|GENRE=f	deuise
a	avoir	VERcjg	MODE=ind|PERS.=3|NOMB.=s	a
enli	enli	NOMcom	NOMB.=s|GENRE=m	enli
toutes	tot	DETind	NOMB.=p|GENRE=f	toutes
biautez	biauté	NOMcom	NOMB.=p|GENRE=f|CAS=r	biautez
ses	son4	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=r	ses
uis	uis	NOMcom	NOMB.=p|GENRE=m|CAS=r	uis
fres	frois1	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p	fres
et	et	CONcoo	MORPH=empty	et
coulourez	colorer	VERcjg	PERS.=2|NOMB.=s|GENRE=m|CAS=n	coulourez
ex	-	PRE	NOMB.=p|GENRE=m	ex
uairs	virai	ADJqua	NOMB.=p|GENRE=m|DEGRE=p	uairs
bouche	boche	NOMcom	NOMB.=s|GENRE=f|CAS=r	bouche
biẽ	bien1	ADVgen	DEGRE=p	biẽ
assise	asseoir	VERppe	MODE=sub|NOMB.=s|GENRE=f|CAS=r	assise
cors	cors1	NOMcom	NOMB.=s|GENRE=m|CAS=r	cors
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
malume	malüer	NOMpro	NOMB.=s|GENRE=f|CAS=r	malume
et	et	CONcoo	MORPH=empty	et
atise	atiner	VERcjg	MODE=sub|TEMPS=pst|NOMB.=s|GENRE=f|CAS=r	atise
maiz	mais1	CONcoo	CAS=r|DEGRE=-	maiz
trop	trop	ADVgen	DEGRE=-	trop
itruis	iruet	PROcar	MODE=ind|NOMB.=s|GENRE=m|CAS=n	itruis
de	de	PRE	MORPH=empty	de
durtez	dorté	NOMcom	NOMB.=p|GENRE=f|CAS=r	durtez
pout	pöoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	pout
ce	ce2	DETdem	NOMB.=s|GENRE=n|CAS=r	ce
paroil	pareil	NOMcom	NOMB.=s|GENRE=m	paroil
ꝯ	'	CONcoo	GENRE=m	ꝯ
irez	irier	VERppe	MODE=ind|TEMPS=fut|NOMB.=s	irez
Touz	tot	DETind	NOMB.=s|GENRE=m|CAS=n	Touz
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	sui
a	a3	PRE	MORPH=empty	a
uostre	vostre	NOMcom	PERS.=2|NOMB.=s|GENRE=m|CAS=r	uostre
deuise	deus	VERppe	NOMB.=s|GENRE=f|CAS=r	deuise
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n	dame
a	a3	PRE	MORPH=empty	a
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	grant
tort	tort2	NOMcom	NOMB.=s|GENRE=m|CAS=r	tort
mociez	mochier	VERppe	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	mociez
uengance	oignance	NOMcom	NOMB.=s|GENRE=f	uengance
auez	avoir	VERcjg	PERS.=2|NOMB.=p	auez
de	de	PRE	MORPH=empty	de
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
prise	prisier	VERppe	NOMB.=s|GENRE=f|CAS=r	prise
donc	donc	PROrel	DEGRE=-	donc
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
mesfaiz	mesfait	NOMcom	NOMB.=s|GENRE=m|CAS=n	mesfaiz
nest	naistre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	nest
prouuez	prover	VERppe	NOMB.=s|GENRE=m|CAS=n	prouuez
certes	certes	ADVgen	DEGRE=-	certes
uers	voir	PRE	NOMB.=p	uers
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	moi
mesprendez	mesprendre	VERppe	NOMB.=p|GENRE=m|CAS=n	mesprendez
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	sui
a	a3	PRE	MORPH=empty	a
uostre	vostre	DETpos	PERS.=2|NOMB.=s|GENRE=m|CAS=r	uostre
seruise	servise	VERppe	NOMB.=s|GENRE=m|CAS=r	seruise
et	et	CONcoo	MORPH=empty	et
uous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n	uous
mauez	mauter	VERppe	MODE=imp|NOMB.=s	mauez
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
mort	mort	NOMcom	NOMB.=s|GENRE=f|CAS=r	mort
quise	querre	VERppe	PERS.=3|NOMB.=s|CAS=r	quise
maiz	mais1	CONcoo	MORPH=empty	maiz
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
