token	normalised
Li	li
pluz	pluz
se	se
plaint	plaint
d	d
amours	amours
maiz	maiz
ie	je
nos	nos
dire	dire
qu	qu
ainc	ainc
a	a
nul	nul
iour	jour
me	me
uouaument	vovaument
sanz	sanz
trichier	trichier
	u
de	de
duel	duel
morrai	morrai
se	se
me	me
uoi	voi
escondire	escondire
Diex	Diex
ie	ie
fu	fu
ia	ja
de	de
si	si
grant	grant
ioie	joie
sire	sire
quant	quant
sa	sa
biautez	biautez
la	la
me	me
fist	fist
acointier	acointier
or	or
trai	trai
pour	pour
li	li
painne	painne
trauaill	travaill
et	et
ire	ire
et	et
nonpourquant	nonpourquant
trop	trop
i	i
a	a
dous	dous
mestier	mestier
forment	forment
l	l
ai	ai
chier	chier
mais	mais
li	li
cors	cors
m	m
en	en
empiredier	empiredier
qu	qu
ai	ai
ie	ie
dit	dit
n	n
en	en
puet	puet
pas	pas
empirier	empirier
	u
de	de
li	li
amer	amer
s	s
ele	ele
en	en
ueut	veut
estre	estre
mire	mire
Maiz	maiz
ie	je
ne	ne
sai	sai
conment	conment
ma	ma
ioie	joie
esli	esli
se	se
puis	puis
que	que
par	par
tout	tout
me	me
fait	fait
s	s
amour	amour
doloir	doloir
quar	quar
ie	je
l	l
aim	aim
tant	tant
loiaument	loiaument
sanz	sanz
faintise	faintise
siꝯme	sicomme
cil	cil
qui	qui
ne	ne
set	set
deceuoir	decevoir
greigneur	greigneur
pooir	pooir
doit	doit
auoir	avoir
uers	vers
franchise	franchise
	u
ma	ma
loiautez	loiautez
que	que
proier	proier
sanz	sanz
doloir	doloir
s	us
amours	amours
est	est
teus	teus
ꝯme	comme
chascuns	chascuns
la	la
prise	prise
Amours	Amours
de	de
moi	moi
est	est
uous	vous
il	il
pitiez	pitiez
prise	prise
qui	qui
tant	tant
uous	vous
ai	ai
seruie	servie
en	en
bon	bon
espoir	espoir
bien	bien
deussiez	deussiez
ma	ma
dame	dame
auoir	avoir
aprise	aprise
ceste	ceste
doleur	doleur
que	que
me	me
faites	faites
auoir	avoir
autrement	autrement
uoir	voir
n	n
iert	iert
ia	ja
par	par
moi	moi
requise	requise
se	se
uous	vous
par	par
ce	ce
ne	ne
li	li
faites	faites
sauoir	savoir
	u
ia	ja
ne	ne
uerrai	verrai
la	la
fin	fin
de	de
mon	mon
seruise	servise
Ie	Je
ne	ne
serf	serf
pas	pas
amors	amors
ne	ne
a	a
semainne	semainne
maiz	maiz
chascun	chascun
iour	jour
s	s
il	il
li	li
uenist	venist
en	en
gre	gre
maiz	maiz
come	come
cil	cil
qui	qui
amours	amours
trait	trait
et	et
mainne	mainne
a	a
son	son
plaisir	plaisir
et	et
a	a
sa	sa
uolente	volente
mout	mout
ma	ma
greue	greue
longement	longement
ceste	ceste
painne	painne
et	et
ce	ce
que	que
i	i
ai	ai
si	si
loiaumẽt	loiaument
ame	ame
de	de
li	li
sui	sui
pres	pres
	u
maiz	maiz
s	s
amours	amours
m	m
est	est
lontainne	lontainne
Puis	Puis
que	que
blondiaus	blondiaus
fu	fu
si	si
en	en
son	son
demainne	demainne
	u
a	a
il	il
son	son
cuer	cuer
maintes	maintes
fois	fois
mercie	mercie
	u
ce	ce
quele	quele
fu	fu
sa	sa
ioie	joie
premerainne	premerainne
ie	je
ne	ne
di	di
pas	pas
qu	qu
il	il
n	n
ait	ait
puis	puis
ꝯpere	conperee
sa	sa
grant	grant
biaute	biaute
chascun	chascun
iour	jour
a	a
estrainne	estrainne
maiz	maiz
cele	cele
n	n
a	a
doucement	doucement
conforte	conforte
	u
c	c
onques	onques
ne	ne
ui	vi
courtoisie	courtoisie
uilainne	vilainne
