token	normalised
Grant	grant
pechie	pechie
fait	fait
qui	qui
de	de
chanter	chanter
me	me
prie	prie
car	car
sanz	sanz
raison	raison
n	n
est	est
pas	pas
drois	drois
que	que
ie	je
chant	chant
n	n
onques	onques
chancon	chancon
ne	ne
fis	fis
iour	jour
de	de
ma	ma
uie	vie
se	se
fine	fine
amours	amours
nel	nel
mẽs	mens
eigna	eigna
auant	avant
maiz	maiz
pour	pour
le	le
gre	gre
chanterai	chanterai
sanz	sanz
talant	talant
ausint	ausint
com	com
cil	cil
qui	qui
par	par
acoustumance	acoustumance
	
font	font
tes	tes
chancons	chancons
una	una
fors	fors
contenance	contenance
Ie	Ee
sai	sai
de	de
poir	poira
se	se
de	de
lor	lor
a	a
l	l
amie	amie
pooie	pooie
auoir	avoir
a	a
ioie	joie
un	un
bel	bel
samblant	samblant
que	que
i	i
ai	ai
un	un
cuer	cuer
qui	qui
de	de
legier	legier
oublie	oublie
iree	iree
t	t
trauaillet	travaillet
fausse	fausse
deceuant	decevant
qui	qui
longement	longement
m	m
a	a
troue	trove
sanz	sanz
guarant	guarant
tolum	tolum
auoit	avoit
mon	mon
cuer	cuer
par	par
mescheance	mescheance
maiz	maiz
rescouslai	rescouslai
a	a
painne	painne
et	et
a	a
greuance	grevance
	
Ie	Ee
ne	ne
di	di
pas	pas
c	c
amours	amours
se	se
soit	soit
partie	partie
de	de
mon	mon
fin	fin
cuer	cuer
ia	ja
ne	ne
uuieie	vuieie
tant	tant
maiz	maiz
einsint	einsint
est	est
que	que
felon	felon
et	et
enuie	envie
	
mont	mont
trop	trop
mal	mal
fet	fet
bien	bien
est	est
apparissant	apparissant
souent	sovent
me	me
font	font
membrer	membrer
en	en
souspirant	souspirant
c	c
onques	onques
ne	ne
fu	fu
si	si
crueux	crueux
desseurance	dessevrance
	
ꝯme	comme
de	de
ioie	joie
et	et
de	de
douce	douce
acointance	acointance
uolage	volage
cuer	cuer
etondiere	etondiere
folie	folie
ont	ont
maint	maint
anuif	anvif
et	et
a	a
loial	loial
amant	amant
auoir	avoir
cuidai	cuidai
ioieuse	joieuse
ꝯpaignie	compaignie
par	par
lonc	lonc
trauai	travai
l	l
l	l
amoureuz	amoureuz
desirrant	desirrant
maiz	maiz
lo	lo
sẽgier	sengier
par	par
furent	furent
si	si
poissant	poissant
qu	qu
il	il
mõt	mont
tolu	tolu
ma	ma
loial	loial
esperance	esperance
de	de
la	la
grant	grant
ioie	joie
ui	vi
auoie	avoie
fiance	fiance
Outrage	Outrage
ont	ont
fe	fe
t	t
orgueill	orgveill
et	et
felenie	felenie
qui	qui
se	se
sunt	sunt
mis	mis
en	en
la	la
pluz	pluz
auenant	avenant
qui	qui
onques	onques
fust	fust
a	a
ami	ami
anemie	anemie
et	et
qui	qui
pluz	pluz
a	a
biaute	biaute
douce	douce
et	et
pleisant	pleisant
merueilles	merveilles
faiz	faiz
qu	qu
an	an
t	t
ie	je
uois	vois
ramembrant	ramembrant
sa	sa
grant	grant
biaute	biaute
uie	vie
n	n
ai	ai
maiz	maiz
fiance	fiance
n	n
en	en
nul	nul
confort	confort
ne	ne
truisịẹ	truisiiee
ma	ma
deliurance	deliurance
