token	lemma	POS	morph	treated
Chancon	chançon	NOMcom	NOMB.=s|GENRE=m|CAS=r	Chancon
ferai	faire	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	ferai
mout	mout	ADVgen	DEGRE=-	mout
maris	mari	NOMcom	NOMB.=s|GENRE=m|CAS=n	maris
d	de	PRE	MORPH=empty	d
amours	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r	amours
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
tant	tant	ADVgen	DEGRE=-	tant
seut	soloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	seut
valoir	valoir	VERinf	MORPH=empty	valoir
faus	faus	NOMcom	NOMB.=p|GENRE=m|CAS=n|DEGRE=p	faus
l	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r	l
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	ont
laissie	laissier	VERppe	NOMB.=s|GENRE=f|CAS=r	laissie
decheoir	dechëoir	VERinf	MORPH=empty	decheoir
s	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	s
en	en2	PROadv	MORPH=empty	en
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
peris	Pervis	VERppe	NOMB.=s|GENRE=m|CAS=n	peris
u	où	CONcoo	CAS=i	u
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
mons	monde1	NOMcom	NOMB.=s|GENRE=m|CAS=n	mons
veincuz	veintre	VERppe	NOMB.=s|GENRE=m|CAS=n	veincuz
et	et	CONcoo	MORPH=empty	et
failliz	falir	VERppe	NOMB.=s|GENRE=m|CAS=n	failliz
drois	droit	NOMcom	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	drois
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
puisqu	puis	ADVgen	NOMB.=s|GENRE=m|DEGRE=p	puisqu
amours	amor	NOMcom	NOMB.=s|GENRE=f|CAS=n	amours
n	ne2	ADVneg	MORPH=empty	n
a	avoir	VERcjg	PERS.=3	a
pooir	pöoir	NOMcom	NOMB.=s|GENRE=m|CAS=r	pooir
u	o3	PROrel	NOMB.=s	u
que	que4	CONsub	MORPH=empty	que
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
siecles	siecle	NOMcom	NOMB.=s|GENRE=m|CAS=n	siecles
ne	ne1	ADVneg	MORPH=empty	ne
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	puet
mes	mais1	DETpos	NOMB.=p	mes
rienz	rien	PROind	NOMB.=p|GENRE=f|CAS=r	rienz
valoir	valoir	VERinf	MORPH=empty	valoir
mout	mout	ADVgen	DEGRE=-	mout
nous	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=i	nous
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	ont
ancient	anciien	VERppe	NOMB.=s	ancient
mis	metre2	VERppe	NOMB.=s|GENRE=m|CAS=r	mis
u	o3	CONcoo	MORPH=empty	u
amours	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r	amours
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
soloit	soloir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	soloit
valoir	valoir	VERinf	MORPH=empty	valoir
dames	dame	NOMcom	NOMB.=p|GENRE=f|CAS=r	dames
barons	baron	NOMcom	NOMB.=p|GENRE=m|CAS=r	barons
et	et	CONcoo	MORPH=empty	et
savoir	savoir	VERinf	MORPH=empty	savoir
honours	onor	NOMcom	NOMB.=p|GENRE=m|CAS=r	honours
et	et	CONcoo	MORPH=empty	et
priz	prendre	VERppe	NOMB.=s|GENRE=m|CAS=n	priz
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r	un
en	en2	PROadv	CAS=n	en
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
durement	durement2	ADVgen	DEGRE=-	durement
amatis	amatir	VERppe	NOMB.=s|GENRE=m|CAS=n	amatis
si	si	ADVgen	DEGRE=-	si
que	que4	CONsub	NOMB.=s|GENRE=n	que
