token	normalised
DE	de
toz	toz
mauz	mauz
nest	nest
nus	nus
plaisans	plaisans
fors	fors
seulement	seulement
cil	cil
damer	damer
mes	mes
cil	cil
est	est
douz	douz
ci	ci
poignanz	poignanz
	E
deliteuz	deliteuz
a	a
penser	penser
	e
tant	tant
set	set
biau	biau
conforter	conforter
	E
de	de
grans	grans
biẽs	biene
Ia	ma
tant	tant
que	que
nus	nus
ne	ne
sen	sen
doit	doit
oster	oster
Fins	fins
amans	amans
uueil	vueil
a	a
madame	madame
encliner	encliner
ie	je
ne	ne
puis	puis
estre	estre
dolens	dolens
qnͣt	quaat
oi	oi
deli	deli
parler	parler
tant	tant
me	me
plest	plest
a	a
ramembrer	ramembrer
que	que
de	de
toz	toz
max	max
mest	mest
garans	garans
sa	sa
biaute	biaute
a	a
recorder	recorder
Amors	amors
qnͣt	quaat
uos	vos
maues	maves
mis	mis
lie	lie
en	en
ur̃e	vome
prison	prison
mielz	mielz
a	a
meroie	meroie
estre	estre
ocis	ocis
que	que
ieusse	ieusse
raencon	raencon
tiex	tiex
max	max
est	est
bien	bien
sanz	sanz
raison	raison
qui	qui
me	me
plaist	plaist
qñt	quntt
me	me
fait	fait
pis	pis
ne	ne
ia	ja
nen	nen
quier	quier
raencon	raencon
Qnͣ	quaa
que	que
il	il
uos	vos
est	est
auis	auis
dame	dame
me	me
semble	semble
reson	reson
si	si
ma	ma
uostre	vostre
amors	amors
sospris	sospris
	E
ur̃e	vome
plaisanz	plaisanz
facon	facon
	e
biautez	brautez
atel	atel
foison	foison
qui	qui
resplent	resplent
en	en
uostre	vostre
uis	vis
	E
des	des
les	les
piez	prez
iusquen	jusquen
son	son
Se	se
de	de
uos	vos
poisse	poisse
auoir	avoir
dame	dame
un	un
poi	poi
plus	plus
bel	bel
sen	sen
blant	blant
ie	je
ne	ne
sauroie	savroie
uoloir	voloir
querre	querre
dieu	dieu
m̃ci	mnci
si	si
grant	grant
que	que
de	de
ioie	joie
auroie	avroie
tant	tant
que	que
tuit	tuit
autre	autre
home	home
pot	pot
uoir	voir
seroient	seroient
uers	vers
moi	moi
do	do
lent	lent
Dame	dame
ou	ou
toz	toz
mos	mos
biens	biens
atent	atent
sachiez	sachiez
qnͣt	quaat
uos	vos
puis	puis
ueoir	veoir
nus	nus
na	na
si	si
ioieus	joieus
torment	torment
