token	lemma	POS	morph	treated
Chanter	chanter	VERinf	GENRE=m	Chanter
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	m
estuet	estovoir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	estuet
que	que4	CONsub	MORPH=empty	que
ne	ne1	ADVneg	MORPH=empty	ne
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	m
en	en2	PROadv	MORPH=empty	en
puis	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	puis
tenir	tenir1	VERinf	MORPH=empty	tenir
si	se	ADVgen	DEGRE=-	si
n	ne1	ADVneg	MORPH=empty	n
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ie
fors	fors1	ADVgen	DEGRE=-	fors
qu	que4	CONsub	MORPH=empty	qu
anui	enui	NOMcom	NOMB.=s	anui
pesance	pesance	NOMcom	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s|GENRE=f|CAS=r	pesance
mes	mais1	CONcoo	MORPH=empty	mes
tout	tot	ADVgen	DEGRE=-	tout
ades	adès	ADVgen	DEGRE=-	ades
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	se
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	fait
bon	bon	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	bon
resjoir	resnoiier	VERinf	NOMB.=s|GENRE=m	resjoir
qu	que4	CONsub	MORPH=empty	qu
en	en1	PRE	MORPH=empty	en
fere	faire	VERinf	MORPH=empty	fere
duel	duel	NOMcom	NOMB.=s|GENRE=m|CAS=r	duel
nus	nos1	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	nus
dou	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	dou
mont	monde1	NOMcom	NOMB.=s|GENRE=m|CAS=r	mont
ne	ne2	ADVneg	MORPH=empty	ne
s	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	s
avance	avance	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	avance
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
ne	ne1	ADVneg	MORPH=empty	ne
chant	chant	VERcjg	MODE=ind|PERS.=3|NOMB.=s	chant
pas	pas	ADVneg	MORPH=empty	pas
com	come1	CONsub	MORPH=empty	com
hom	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n	hom
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
soit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	soit
a	a3	PRE	MORPH=empty	a
mesmes	mëisme	ADVgen	NOMB.=s|GENRE=m|CAS=r	mesmes
com	come1	CONsub	MORPH=empty	com
destroiz	destroit	VERcjg	NOMB.=p|GENRE=m|CAS=n	destroiz
pensis	pensif	NOMcom	MODE=ind|NOMB.=s|DEGRE=p	pensis
esgarez	esgarer	VERppe	MODE=ind|NOMB.=s|GENRE=m|CAS=n	esgarez
que	que4	CONsub	MORPH=empty	que
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
n	ne1	ADVneg	MORPH=empty	n
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
mais	mais1	ADVgen	MORPH=empty	mais
de	de	PRE	MORPH=empty	de
bien	bien2	ADVgen	MORPH=empty	bien
nule	nul	DETind	NOMB.=s|GENRE=f|CAS=r	nule
esperance	esperance	NOMcom	NOMB.=s|GENRE=f|CAS=r	esperance
ains	ainz	ADVgen	DEGRE=-	ains
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	sui
Je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	Je
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i	vos
di	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	di
bien	bien1	ADVgen	DEGRE=p	bien
uneriens	venir	VERcjg	NOMB.=p|CAS=r|DEGRE=p	uneriens
toz	tot	DETind	NOMB.=p|GENRE=m|CAS=r	toz
jors	jor	NOMcom	NOMB.=p|GENRE=m|CAS=r	jors
a	avoir	PRE	MODE=ind|TEMPS=pst	a
paroles	parole	NOMcom	NOMB.=p|GENRE=f|CAS=r	paroles
menez	mener	VERppe	NOMB.=p|GENRE=m|CAS=n	menez
sans	sans	PRE	MORPH=empty	sans
mentir	mentir	VERinf	MORPH=empty	mentir
qu	que4	CONsub	MORPH=empty	qu
en	en1	PRE	MORPH=empty	en
amor	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r	amor
aeur	aorer2	VERcjg	NOMB.=s	aeur
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	grant
cheance	chëance	NOMcom	NOMB.=s|GENRE=f|CAS=r	cheance
se	se	CONsub	MORPH=empty	se
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
de	de	PRE	MORPH=empty	de
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
poisse	peser	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	poisse
partir	partir	VERinf	MORPH=empty	partir
mielz	mieus	ADVgen	DEGRE=c	mielz
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	m
en	en2	PROadv	MORPH=empty	en
venist	venir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	venist
qu	que4	CONsub	MORPH=empty	qu
estre	estre1	VERinf	MORPH=empty	estre
Sires	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n	Sires
de	de	PRE	MORPH=empty	de
