token	normalised
UNe	one
dolors	dolors
enossee	enossee
sest	sest
dedẽz	dedenz
mon	mon
cuer	cuer
que	que
ie	je
ne	ne
puis	puis
o	o
ster	ster
fuer	fuer
por	por
nule	nule
rien	rien
qui	qui
soit	soit
nee	nee
cest	cest
dolors	dolors
damors	damors
dont	dont
nai	nai
ꝯfort	confort
ne	ne
secors	secors
en	en
cuit	cuit
ce	ce
que	que
ie	je
me	me
hee	hee
uo	vo
lentez	lentez
desesperee	desesperee
doit	doit
on	on
giter	giter
puer	puer
ne	ne
ie	je
ne	ne
uueil	vueil
a	a
nul	nul
fuer	fuer
quele	quele
soit	soit
en	en
moi	moi
entree	entree
mielz	mielz
aim	aim
mes	mes
dolors	dolors
sosfrir	sosfrir
	E
les	les
granz	granz
paors	paors
q̃	que
soffrirs	soffrirs
uaint	vaint
ꝯsirree	consirree
Dame	dame
ainz	ainz
ne	ne
mosai	mosai
ꝯplaindre	complaindre
a	a
uos	vos
tant	tant
ne	ne
quant	quant
q̃	que
ur̃e	vome
biaute	biaute
tres	tres
gnͣt	gnaat
fet	fet
mon	mon
cuer	cuer
ou	ou
cuer	cuer
estaindre	estaindre
si	si
que	que
nai	nai
pooir	pooir
de	de
uos	vos
dire	dire
mon	mon
uoloir	voloir
por	por
tant	tant
puet	puet
toz	toz
iors	jors
remaindre	remaindre
Bien	bien
uoi	voi
que	que
ni	ni
puis	puis
ataindre	ataindre
par	par
nul	nul
mandement	mandement
nen	nen
quier	quier
uoir	voir
parler	parler
auant	avant
ne	ne
aillors	aillors
ne	ne
men	men
uueil	vueil
plaindre	plaindre
ainz	ainz
atendrai	atendrai
uoir	voir
sa	sa
merci	merci
de	de
dur	dur
uoloir	voloir
se	se
pitiez	pitiez
ne	ne
le	le
fati	fati
fraindre	fraindre
Nose	nose
entrer	entrer
enson	enson
repaire	repaire
tant	tant
dout	dout
son	son
corrouz	corrouz
as	as
sospirs	sospirs
	E
as	as
senglouz	senglouz
men	men
rieng	rreng
que	que
nen	nen
puis	puis
pl᷒	plu
faire	faire
ainz	ainz
uoiz	voiz
aorant	aorant
le	le
leu	leu
	E
merci	merci
criant	criant
cum	cum
a	a
i	i
haut	haut
saintuaire	saintvaire
Dame	dame
cui	cui
iaim	Kaima
tant	tant
quel	quel
que	que
bien	bien
en	en
delaiant	delafant
me	me
dounez	dounez
por	por
plus	plus
atraire	atraire
Bernart	bernart
cil	cil
qui	qui
sent	sent
mez	mez
mar	mar
	E
merci	merci
latent	latent
trop	trop
a	a
anui	anui
ci	ci
contraire	contraire
