token	normalised
Chanters	Chanters
me	me
plaist	plaist
qui	qui
de	de
ioie	joie
est	est
norriz	norriz
quar	quar
par	par
esfors	esfors
ne	ne
puet	puet
nus	nus
chãcon	chancon
faire	faire
puisque	puisque
soulaz	soulaz
est	est
de	de
fin	fin
cuer	cuer
partiz	partiz
painne	painne
i	i
couuient	couvient
ainz	ainz
ꝯ	com
li	li
puist	puist
retraire	retraire
maiz	maiz
cil	cil
qu	qu
amours	amours
et	et
talens	talens
fait	fait
chanter	chanter
de	de
legier	legier
puet	puet
bone	bone
chancon	chancon
trouuer	trouver
ce	ce
que	que
nus	nus
hom	hom
ne	ne
feroit	feroit
sanz	sanz
amer	amer
De	de
bone	bone
amour	amour
est	est
mes	mes
cuers	cuers
esiois	esjois
onques	onques
n	n
ama	ama
cil	cil
qui	qui
s	s
en	en
puet	puet
retraire	retraire
li	li
anuious	anuious
en	en
font	font
plaintes	plaintes
et	et
cris	cris
qu	qu
ele	ele
ne	ne
deigne	deigne
a	a
son	son
seruice	service
atraire	atraire
maiz	maiz
ma	ma
dame	dame
doi	doi
ie	ie
mout	mout
mercier	mercier
qui	qui
nuit	nuit
et	et
iour	jour
me	me
fait	fait
a	a
li	li
penser	penser
si	si
ne	ne
me	me
puet	puet
de	de
rienz	rienz
tant	tant
honorer	honorer
Quant	Quant
ie	je
regart	regart
son	son
cors	cors
et	et
ioises	joises
dis	dis
et	et
uoison	voison
uis	vis
touz	touz
li	li
cors	cors
m	m
en	en
esclaire	esclaire
apres	apres
en	en
sui	sui
dolanz	dolanz
et	et
esbahiz	esbahiz
	u
quant	quant
ie	je
ne	ne
puis	puis
de	de
grãt	grant
ioie	joie
a	a
chief	chief
traire	traire
et	et
ie	ie
conment	conment
quant	quant
nos	nos
a	a
li	li
parler	parler
nen	nen
ai	ai
uoloir	voloir
qu	qu
ele	ele
deignast	deignast
cuider	cuider
tant	tant
me	me
ꝯuient	convient
sa	sa
grant	grant
ualour	valour
douter	douter
