token	normalised
Se	se
sauoient	savoient
mon	mon
tourment	tourment
et	et
auques	auques
de	de
mon	mon
afaire	afaire
cil	cil
qui	qui
demandent	demandent
conment	conment
ie	je
puis	puis
tant	tant
de	de
chancons	chancons
faire	faire
il	il
diroient	diroient
uraiement	vraiement
que	que
nus	nus
a	a
chanter	chanter
n	n
entent	entent
	
qui	qui
mieuz	mieuz
s	s
en	en
deust	deust
retraire	retraire
maiz	maiz
r	r
ce	ce
chant	chant
uoirement	voirement
	
quentir	quentir
plus	plus
doucemen	doucemen
t	t
rop	rop
par	par
me	me
grieue	grieve
forment	forment
cele	cele
est	est
si	si
debonaire	debonaire
qui	qui
tant	tant
dolour	dolour
me	me
rent	rent
ce	ce
qu	qu
a	a
tout	tout
lent	lent
doit	doit
plaire	plaire
maiz	maiz
ne	ne
menast	menast
nient	nient
se	se
la	la
tres	tres
bele	bele
au	au
corsnt	corsnt
	
me	me
feist	feist
touz	touz
ces	ces
mausure	mausure
maiz	maiz
ce	ce
m	m
ocit	ocit
uraiement	vraiement
iel	Oiela
ne	ne
set	set
que	que
pour	pour
li	li
sente	sente
seust	seust
certeinnement	certeinnement
mon	mon
artire	artire
et	et
mon	mon
contraire	contraire
cele	cele
por	por
ie	je
consent	consent
que	que
l	l
amour	amour
meent	meent
et	et
maire	maire
ie	je
croi	croi
bien	bien
qualement	qualement
m	m
enuoiast	envoiast
procheinnement	procheinnementnnme
quar	quar
par	par
droit	droit
le	le
deust	deust
faire	faire
	
se	se
reguars	reguars
a	a
escient	escient
de	de
ses	ses
biaux	biaux
iex	iex
ne	ne
me	me
ment	ment
Chancons	chancons
ua	va
isnelement	isnelement
a	a
la	la
bele	bele
au	au
cler	cler
uiaire	viarre
si	si
li	li
ditãt	ditant
seulement	seulement
qui	qui
de	de
bons	bons
est	est
souef	sovef
flaire	flaire
ne	ne
l	l
os	os
penser	penser
autrement	autrement
quar	quar
trop	trop
pensai	pensai
hautement	hautement
si	si
n	n
en	en
puis	puis
mon	mon
cuer	cuer
retraire	retraire
et	et
se	se
pitiez	pitiez
ne	ne
l	l
en	en
prent	prent
	
blondiaus	blondiaus
muert	mvert
que	que
pluz	pluz
n	n
atent	atent
