token	normalised
De	De
la	la
pluz	pluz
douce	douce
amour	amour
me	me
conuient	convient
a	a
chanter	chanter
qui	qui
iamaiz	jamaiz
a	a
nul	nul
iour	jour
puisse	puisse
ioie	joie
douner	douner
tant	tant
ai	ai
donce	donce
dolour	dolour
por	por
ma	ma
leal	leal
amie	amie
	u
qui	qui
ia	ja
n	n
iert	iert
desseruie	desservie
si	si
proi	proi
dieu	dieu
et	et
aour	aour
qu	qu
ele	ele
maint	maint
sans	sans
fausser	fausser
quar	quar
mes	mes
cuers	cuers
len	len
afie	afie
Sens	Sens
et	et
pris	pris
et	et
ualour	valour
biaute	biaute
bonte	bonte
uis	vis
cler	cler
a	a
ma	ma
dame	dame
et	et
hounour	hounour
ce	ce
me	me
fait	fait
ramembrer	ramembrer
	u
la	la
ioie	joie
et	et
la	la
dolour	dolour
pour	pour
quoi	quoi
l	l
ai	ai
tant	tant
seruie	servie
si	si
n	n
en	en
partirai	partirai
mie	mie
por	por
autre	autre
dame	dame
amer	amer
quel	quel
monde	monde
n	n
a	a
meillour	meillour
ce	ce
me	me
fait	fait
desirrer	desirrer
	u
sa	sa
douce	douce
compaignie	compaignie
Toute	Toute
ma	ma
ioie	joie
maint	maint
en	en
amer	amer
leaument	leaument
et	et
ceste	ceste
amours	amours
destraint	destraint
mon	mon
cuer	cuer
tant	tant
doucement	doucement
que	que
mes	mes
cors	cors
ne	ne
s	s
en	en
plaint	plaint
tant	tant
en	en
ait	ait
grief	grief
martyre	martyre
se	se
pour	pour
amer	amer
empire	empire
	u
gent	gent
guerredonarent	guerredonarent
qͣr	quar
nus	nus
hom	hom
qru	quu
bien	bien
amt	amt
ne	ne
puet	puet
auoir	avoir
tourment	tourment
	u
que	que
plour	plour
ne	ne
uaillent	vaillent
rire	rire
Dame	Dame
qui	qui
que	que
se	se
plaint	plaint
de	de
uostre	vostre
encombrement	encombrement
	un
endroit	endroit
moi	moi
ne	ne
remaint	remaint
	u
l	l
amours	amours
qui	qui
si	si
mesprent	mesprent
doucement	doucement
me	me
destraint	destraint
pour	pour
ce	ce
n	n
en	en
sai	sai
que	que
dire	dire
si	si
ne	ne
nos	nos
escondire	escondire
uostre	vostre
ꝯmandement	commandement
amours	amours
proi	proi
quel	quel
m	m
en	en
saint	saint
a	a
faire	faire
uo	vo
talent	talent
	u
si	si
qu	qu
a	a
moi	moi
n	n
aiez	aiez
ire	ire
Dites	Dites
moi	moi
que	que
ce	ce
foit	foit
que	que
tant	tant
me	me
mescreez	mescreez
que	que
cist	cist
miens	miens
cuers	cuers
ne	ne
soit	soit
autre	autre
que	que
uous	vous
dounez	dounez
certes	certes
il	il
ne	ne
l	l
feroit	feroit
pour	pour
chose	chose
qui	qui
soit	soit
nee	nee
se	se
de	de
uous	vous
ert	ert
seuree	sevree
ma	ma
douce	douce
uolentez	volentez
bien	bien
sai	sai
qu	qu
il	il
s	s
ocirroit	ocirroit
pour	pour
dieu	dieu
ni	ni
mes	mes
pensez	pensez
	u
n	n
estes	estes
pas	pas
enganee	enganee
Ia	ja
amours	amours
ne	ne
m	m
otroit	otroit
que	que
de	de
uous	vous
soie	soie
amez	amez
	u
s	s
a	a
tort	tort
ne	ne
me	me
mescroit	mescroit
	u
li	li
cuers	cuers
que	que
uous	vous
auez	avez
decussoit	decussoit
qui	qui
decoit	deçoit
ce	ce
qu	qu
a	a
son	son
cuer	cuer
agree	agree
pluz	pluz
estes	estes
desirree	desirree
ie	je
ne	ne
sai	sai
se	se
iai	iai
droit	droit
ia	ja
tant	tant
ne	ne
m	m
amerez	amerez
	u
pluz	pluz
ne	ne
soiez	soiez
amee	amee
