token	lemma	POS	morph	treated
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
pluz	plus	ADVgen	CAS=n|DEGRE=-	pluz
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	se
plaint	plaindre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	plaint
d	de	PRE	MORPH=empty	d
amours	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r	amours
maiz	mais1	CONcoo	NOMB.=p|CAS=r	maiz
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
nos	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=i	nos
dire	dire	VERinf	MODE=ind|TEMPS=pst|PERS.=1	dire
qu	que4	CONsub	MORPH=empty	qu
ainc	ainc	ADVgen	DEGRE=-	ainc
a	a3	VERcjg	MODE=ind|TEMPS=pst	a
nul	nul	DETind	NOMB.=s|GENRE=m|CAS=r	nul
jour	jor	NOMcom	NOMB.=s|GENRE=m|CAS=r	jour
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
vouaument	voloir	ADVgen	PERS.=3	vouaument
sanz	sans	PRE	MORPH=empty	sanz
trichier	tricherie	VERinf	CAS=r	trichier
		PONfbl	MORPH=empty	
de	de	PRE	MORPH=empty	de
duel	duel	NOMcom	NOMB.=s|GENRE=m|CAS=r	duel
morrai	morir	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	morrai
se	se	CONsub	MORPH=empty	se
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
voi	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	voi
escondire	escondire	VERinf	MORPH=empty	escondire
diex	dieu	NOMcom	NOMB.=s|GENRE=m|CAS=n	diex
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
ja	ja	ADVgen	DEGRE=-	ja
de	de	PRE	MORPH=empty	de
si	si	ADVgen	DEGRE=-	si
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	grant
joie	joie	NOMcom	NOMB.=s|GENRE=f|CAS=r	joie
sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n	sire
quant	cant1	CONsub	MORPH=empty	quant
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=n	sa
brautez	brazté	NOMcom	NOMB.=s|GENRE=f|CAS=n	brautez
la	il	PROper	PERS.=3|GENRE=f|CAS=r|DEGRE=-	la
me	je	PROper	PERS.=1|NOMB.=s|GENRE=f|CAS=i	me
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fist
acointier	acointier	VERinf	MORPH=empty	acointier
or	or4	ADVgen	GENRE=m|CAS=r|DEGRE=-	or
trai	traire	VERcjg	MODE=ind|PERS.=1|NOMB.=s	trai
pour	por2	PRE	MORPH=empty	pour
li	il	PROper	NOMB.=s|GENRE=f|CAS=r	li
painne	peine	NOMcom	NOMB.=s|GENRE=f|CAS=r	painne
travaill	travail	NOMcom	NOMB.=s|GENRE=m|CAS=r	travaill
et	et	CONcoo	MORPH=empty	et
ire	ire	NOMcom	NOMB.=s|GENRE=f|CAS=r	ire
et	et	CONcoo	MORPH=empty	et
nonpourquant	neporcant	ADVgen	DEGRE=-	nonpourquant
trop	trop	ADVgen	DEGRE=-	trop
i	i2	PROadv	MORPH=empty	i
a	avoir	PRE	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
dous	deus	DETcar	NOMB.=p|GENRE=m|CAS=r	dous
mestier	mestier	NOMcom	NOMB.=s|GENRE=m|CAS=r	mestier
forment	forment2	ADVgen	DEGRE=-	forment
l	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
chier	chier	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	chier
mais	mais1	CONcoo	MORPH=empty	mais
li	le	DETdef	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
cors	cors1	NOMcom	NOMB.=s|GENRE=m|CAS=r	cors
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	m
en	an	PROadv	MORPH=empty	en
emprredier	empruster	VERcjg	MODE=ind	emprredier
qu	que4	PROrel	NOMB.=s	qu
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
dit	dire	VERppe	TEMPS=pst|NOMB.=s|GENRE=n|CAS=r	dit
n	ne1	ADVneg	MORPH=empty	n
en	en2	PROadv	MORPH=empty	en
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	puet
pas	pas	ADVneg	MORPH=empty	pas
emprrier	emprendre	VERinf	MORPH=empty	emprrier
		PONfbl	MORPH=empty	
de	de	PRE	MORPH=empty	de
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	li
amer	amer1	VERinf	NOMB.=s	amer
s	se	CONsub	GENRE=f	s
ele	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	ele
en	en2	PROadv	MORPH=empty	en
veut	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	veut
estre	estre1	VERinf	MORPH=empty	estre
mire	mire1	NOMcom	NOMB.=s|GENRE=m|CAS=n	mire
maiz	mais1	CONcoo	MORPH=empty	maiz
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
ne	ne1	ADVneg	MORPH=empty	ne
sai	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	sai
conment	coment1	ADVsub	MORPH=empty	conment
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r	ma
joie	joie	NOMcom	NOMB.=s|GENRE=f|CAS=r	joie
esli	eslire	VERcjg	NOMB.=s|CAS=r	esli
se	se	CONsub	MORPH=empty	se
puis	puis	ADVgen	MODE=ind|TEMPS=pst|PERS.=1|DEGRE=-	puis
que	que4	CONsub	MORPH=empty	que
par	par	PRE	MORPH=empty	par
tout	tot	PROind	NOMB.=s|GENRE=n|CAS=r	tout
