token	lemma	POS	morph	treated
Compaignon	compagnon	NOMpro	NOMB.=s|GENRE=m|CAS=r	Compaignon
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ie
sai	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	sai
tel	tel	DETind	NOMB.=s|GENRE=f|CAS=r	tel
chose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=r	chose
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n	qui
chanter	chanter	VERinf	MORPH=empty	chanter
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
fet	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	fet
sovent	sovent	ADVgen	PERS.=3|DEGRE=-	sovent
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n	dame
pluz	plus	ADVgen	DEGRE=c	pluz
bele	bel1	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	bele
que	que2	CONsub	MORPH=empty	que
rose	Rose	NOMcom	NOMB.=s|GENRE=f|CAS=n	rose
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n	qui
maintient	maintenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	maintient
joie	Joie	NOMcom	NOMB.=s|GENRE=f|CAS=r	joie
et	et	CONcoo	MORPH=empty	et
jouent	jöer	NOMcom	MODE=ind|NOMB.=p	jouent
gueriz	gerir	VERppe	NOMB.=p|GENRE=m|CAS=r	gueriz
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
servir	servir	VERinf	MORPH=empty	servir
l	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r	l
ose	oser	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	ose
et	et	CONcoo	MORPH=empty	et
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	sa
merite	merite	NOMcom	NOMB.=s|GENRE=f|CAS=r	merite
atent	atendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	atent
qu	que4	CONsub	MORPH=empty	qu
ades	adès	ADVgen	TEMPS=pst|CAS=n	ades
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=n	sa
chambre	chambre1	NOMcom	NOMB.=s|GENRE=f|CAS=n	chambre
enclose	enclore	VERppe	NOMB.=s|GENRE=f|CAS=n	enclose
de	de	PRE	MORPH=empty	de
tous	tot	DETind	NOMB.=p|GENRE=m|CAS=r	tous
biens	bien1	NOMcom	NOMB.=p|GENRE=m|CAS=r|DEGRE=p	biens
entierement	entier	ADVgen	DEGRE=-	entierement
tout	tot	ADVgen	GENRE=m	tout
ades	adès	ADVgen	GENRE=m|CAS=r	ades
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	m
en	en2	PROadv	MORPH=empty	en
resouvient	resovenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	resouvient
Droit	droit	ADVgen	DEGRE=-	Droit
a	a3	PRE	MORPH=empty	a
qui	cui	PROrel	NOMB.=p|GENRE=m|CAS=i	qui
amors	amor	NOMcom	NOMB.=s|GENRE=f|CAS=n	amors
maintient	maintenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	maintient
puiz	puis	ADVgen	CAS=r|DEGRE=-	puiz
qu	que4	CONsub	MORPH=empty	qu
oneurs	onor	NOMcom	NOMB.=p|GENRE=m|CAS=n	oneurs
et	et	CONcoo	MORPH=empty	et
priz	prendre	NOMcom	NOMB.=s|GENRE=m|CAS=n	priz
l	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	l
en	en2	PROadv	NOMB.=s|CAS=n	en
vient	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	vient
Douce	Jocevoir	NOMpro	NOMB.=s|GENRE=f|CAS=n	Douce
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n	dame
debonaire	debonaire	ADJqua	CAS=n|DEGRE=p	debonaire
tant	tant	ADVgen	DEGRE=-	tant
ne	ne1	ADVneg	MORPH=empty	ne
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	m
