token	lemma	POS	morph	treated
Cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n	Cil
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
d	de	PRE	MORPH=empty	d
amour	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r	amour
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
conseille	conseillier1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	conseille
que	que4	CONsub	NOMB.=s	que
de	de	PRE	MORPH=empty	de
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
doie	devoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	doie
partir	partir	VERinf	MORPH=empty	partir
ne	ne1	ADVneg	MORPH=empty	ne
set	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	set
pas	pas	ADVneg	MORPH=empty	pas
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
resveille	reveler2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	resveille
ne	ne2	CONcoo	MORPH=empty	ne
quel	quel1	PROrel	NOMB.=s|GENRE=m|CAS=n	quel
sunt	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	sunt
mi	mon1	DETpos	PERS.=1|NOMB.=p|GENRE=m|CAS=n	mi
grief	grief	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p	grief
souspir	sospir	VERinf	MORPH=empty	souspir
petut	poit	ADVgen	NOMB.=s	petut
a	avoir	PRE	PERS.=3	a
sent	sentir	NOMcom	NOMB.=s|GENRE=m|CAS=r	sent
et	et	CONcoo	MORPH=empty	et
voisdie	voisdie	VERcjg	MODE=sub|PERS.=1|NOMB.=s|CAS=r	voisdie
cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n	cil
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
veut	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	veut
chastoier	chastiier	VERinf	MORPH=empty	chastoier
n	ne2	CONcoo	MORPH=empty	n
onques	onque	ADVgen	DEGRE=-	onques
n	ne1	ADVneg	MORPH=empty	n
ama	amer1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ama
en	en1	PRE	MORPH=empty	en
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	sa
vie	vie1	NOMcom	NOMB.=s|GENRE=f|CAS=r	vie
si	si	ADVgen	DEGRE=-	si
fait	faire	VERppe	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s|GENRE=m	fait
trop	trop	ADVgen	DEGRE=-	trop
nice	niece	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	nice
folie	folie2	NOMcom	NOMB.=s|GENRE=f|CAS=r	folie
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n	qui
s	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	s
entremet	entremetre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	entremet
du	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	du
mestier	mestier	NOMcom	NOMB.=s|GENRE=m|CAS=r	mestier
dont	dont	PROrel	NOMB.=s|GENRE=m|CAS=i	dont
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
ne	ne1	ADVneg	MORPH=empty	ne
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	se
set	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	set
aidier	aidier	VERinf	MORPH=empty	aidier
máblanche	malber	VERcjg	NOMB.=s|GENRE=f|CAS=r	máblanche
clere	cler	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	clere
et	et	CONcoo	MORPH=empty	et
vermeille	vermeil1	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	vermeille
de	de	PRE	MORPH=empty	de
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i	vous
sunt	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	sunt
tout	tot	ADVgen	DEGRE=-	tout
mi	mi2	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	mi
desir	desirrer	VERcjg	NOMB.=s	desir
car	car	ADVgen	DEGRE=-	car
faites	faire	VERcjg	MODE=imp|PERS.=2|NOMB.=p	faites
une	un	DETndf	NOMB.=s|GENRE=f|CAS=r	une
