token	lemma	POS	morph	treated
Quant	cant1	CONsub	MORPH=empty	Quant
nois	noif	NOMcom	NOMB.=s|GENRE=m|CAS=n	nois
et	et	CONcoo	MORPH=empty	et
giaus	jauol	NOMcom	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	giaus
et	et	CONcoo	MORPH=empty	et
froidure	froidure	NOMcom	NOMB.=s|GENRE=f|CAS=n	froidure
remaint	remanoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	remaint
od	o4	PRE	MORPH=empty	od
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
tanz	tant	NOMcom	NOMB.=s|GENRE=m|CAS=r	tanz
felon	felon	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	felon
que	que2	CONsub	NOMB.=s	que
flours	flor1	NOMcom	NOMB.=p|GENRE=f|CAS=n	flours
et	et	CONcoo	MORPH=empty	et
fueille	fueille	NOMcom	NOMB.=s|GENRE=f|CAS=n	fueille
et	et	CONcoo	MORPH=empty	et
verdure	verdor	NOMcom	NOMB.=s|GENRE=f|CAS=n	verdure
un	un	DETndf	NOMB.=s|GENRE=m|CAS=n	un
vient	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s|GENRE=m	vient
od	o4	PRE	MORPH=empty	od
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
bele	bel1	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	bele
saison	saison	NOMcom	NOMB.=s|GENRE=f|CAS=r	saison
lors	lors	ADVgen	DEGRE=-	lors
chant	chant2	VERcjg	MODE=ind|NOMB.=s|CAS=n|DEGRE=p	chant
sanz	sans	PRE	MORPH=empty	sanz
envoiseure	envoisëor	NOMcom	NOMB.=s|GENRE=f|CAS=r	envoiseure
dont	dont	PROrel	NOMB.=s|GENRE=f|CAS=i	dont
i	i2	PROadv	MORPH=empty	i
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	ai
si	si	ADVgen	DEGRE=-	si
droite	droit	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	droite
ochoison	ochaison	NOMcom	NOMB.=s|GENRE=f|CAS=r	ochoison
que	que2	CONsub	MORPH=empty	que
i	i2	PROper	MORPH=empty	i
aim	amer1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	aim
d	de	PRE	MORPH=empty	d
amour	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r	amour
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
trop	trop	ADVgen	TEMPS=pst|DEGRE=-	trop
dure	durer	VERcjg	MODE=ind|TEMPS=pst|NOMB.=s|DEGRE=p	dure
u	o3	CONcoo	NOMB.=s	u
sans	sans	PRE	MORPH=empty	sans
joie	joie	NOMcom	NOMB.=s|GENRE=f|CAS=r	joie
et	et	CONcoo	MORPH=empty	et
sanz	sans	PRE	MORPH=empty	sanz
guerredon	guerredon	NOMcom	NOMB.=s|GENRE=m|CAS=r	guerredon
Mout	mout	ADVgen	DEGRE=-	Mout
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
de	de	PRE	MORPH=empty	de
cruel	crüel	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	cruel
nature	nature	NOMcom	NOMB.=s|GENRE=f|CAS=r	nature
qui	que2	PROrel	NOMB.=s|GENRE=f|CAS=n	qui
amour	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r	amour
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fist
sanz	sans	PRE	MORPH=empty	sanz
reson	raison	NOMcom	NOMB.=s|GENRE=f|CAS=r	reson
qu	que4	CONsub	CAS=r	qu
en	on	PROind	MORPH=empty	en
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	ai
mise	metre2	VERppe	NOMB.=s|GENRE=f|CAS=r	mise
